hit,seq1,seq2,S,N,t,kappa,omega,dN,dN_SE,dS,dS_SE
Os01t0611100-01_Os06t0600301-00,Os01t0611100-01,Os06t0600301-00,130.2,532.8,2.4663,2.0536,0.0358,0.1307,0.0168,3.6517,4.9781
Os01t0657100-01_Os03t0150500-01,Os01t0657100-01,Os03t0150500-01,178.1,1405.9,2.0914,1.539,0.0754,0.293,0.0169,3.8868,5.8111
Os08t0404000-00_Os04t0319700-00,Os08t0404000-00,Os04t0319700-00,149.3,1155.7,1.8473,2.039,0.056,0.2102,0.0151,3.7546,5.3263
Os04t0373000-00_Os05t0513400-02,Os04t0373000-00,Os05t0513400-02,241.2,616.8,3.0065,2.6042,0.1418,0.371,0.0304,2.6158,3.1639
Os04t0584600-02_Os11t0136600-00,Os04t0584600-02,Os11t0136600-00,326.4,1290.6,3.4769,1.2959,0.0816,0.3541,0.0201,4.3411,7.8471
Os11t0569500-01_Os02t0635600-01,Os11t0569500-01,Os02t0635600-01,781.8,2188.2,1.9511,1.9572,0.2842,0.3911,0.0166,1.3761,0.1836
Os09t0460400-01_Os09t0455900-01,Os09t0460400-01,Os09t0455900-01,138.0,789.0,2.0834,1.7176,0.1348,0.355,0.0258,2.6343,1.9088
Os10t0527800-01_Os07t0168300-01,Os10t0527800-01,Os07t0168300-01,82.9,595.1,1.4331,1.6034,0.1671,0.2968,0.0263,1.7768,0.5478
Os04t0339400-01_Os01t0618100-01,Os04t0339400-01,Os01t0618100-01,226.8,790.2,2.2026,0.9927,0.1795,0.3636,0.0263,2.0256,0.7969
Os04t0594800-01_Os06t0125500-03,Os04t0594800-01,Os06t0125500-03,466.6,1717.4,3.8129,2.4384,0.079,0.3641,0.0178,4.6091,9.3731
Os01t0615050-00_Os01t0615100-01,Os01t0615050-00,Os01t0615100-01,42.1,143.9,1.2304,0.8287,0.1831,0.2042,0.0421,1.1149,0.5008
Os04t0167851-00_Os10t0113050-00,Os04t0167851-00,Os10t0113050-00,193.1,529.9,1.236,0.6863,0.7399,0.3766,0.0339,0.509,0.0734
Os11t0206600-02_Os11t0246100-01,Os11t0206600-02,Os11t0246100-01,220.3,925.7,1.2377,1.5254,0.4506,0.3342,0.0228,0.7417,0.1049
Os01t0813400-01_Os08t0248900-01,Os01t0813400-01,Os08t0248900-01,121.7,421.3,2.8934,1.3063,0.1253,0.376,0.0368,3.0023,2.1877
Os06t0639800-01_Os02t0185300-01,Os06t0639800-01,Os02t0185300-01,306.0,1218.0,2.8377,2.2108,0.1326,0.4089,0.0231,3.0831,1.5338
Os07t0129700-01_Os03t0727000-02,Os07t0129700-01,Os03t0727000-02,155.5,861.5,2.2802,1.2718,0.0843,0.2856,0.0214,3.3893,3.2204
Os05t0499400-01_Os01t0787000-01,Os05t0499400-01,Os01t0787000-01,124.7,880.3,2.2128,0.8516,0.091,0.3295,0.0232,3.6193,4.8731
Os11t0193800-01_Os11t0191800-01,Os11t0193800-01,Os11t0191800-01,153.9,530.1,0.0672,2.571,0.3242,0.0153,0.0054,0.047,0.018
Os03t0356582-01_Os12t0141100-01,Os03t0356582-01,Os12t0141100-01,471.4,1748.6,2.3331,1.4001,0.1351,0.3296,0.0165,2.4396,1.5009
Os06t0662500-00_Os06t0662300-01,Os06t0662500-00,Os06t0662300-01,67.8,283.2,0.6491,1.6749,0.2982,0.1487,0.0248,0.4987,0.1379
Os04t0420300-00_Os10t0342300-01,Os04t0420300-00,Os10t0342300-01,606.2,1799.8,1.8089,2.5068,0.2502,0.3436,0.0169,1.373,0.2301
Os04t0395600-02_Os05t0150500-00,Os04t0395600-02,Os05t0150500-00,430.5,1282.5,2.3524,1.4242,0.1955,0.3855,0.0214,1.9716,0.3072
Os08t0188900-01_Os08t0189100-01,Os08t0188900-01,Os08t0189100-01,188.2,465.8,0.592,2.9432,0.1714,0.0825,0.0139,0.4814,0.0748
Os01t0890600-00_Os04t0420600-00,Os01t0890600-00,Os04t0420600-00,400.3,1387.7,4.0023,1.4608,0.094,0.4225,0.0221,4.4942,8.6852
Os09t0404600-00_Os09t0404500-00,Os09t0404600-00,Os09t0404500-00,147.0,255.0,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os02t0114200-01_Os07t0479300-01,Os02t0114200-01,Os07t0479300-01,323.9,1158.1,2.4085,1.174,0.0719,0.2101,0.0151,2.9216,5.1258
Os10t0528400-01_Os10t0530900-01,Os10t0528400-01,Os10t0530900-01,100.8,595.2,2.0396,1.1511,0.113,0.3181,0.0275,2.8158,1.8831
Os02t0746000-01_Os08t0170900-01,Os02t0746000-01,Os08t0170900-01,494.0,1699.0,1.4995,1.8429,0.0967,0.1611,0.0106,1.665,0.195
Os04t0599800-01_Os02t0700100-01,Os04t0599800-01,Os02t0700100-01,323.1,1083.9,0.6631,2.4244,0.0946,0.0691,0.0083,0.7307,0.0832
Os01t0944700-01_Os01t0941500-00,Os01t0944700-01,Os01t0941500-00,134.6,843.4,1.5474,1.515,0.1179,0.2541,0.0199,2.1556,0.995
Os09t0527600-01_Os01t0750000-02,Os09t0527600-01,Os01t0750000-02,130.0,533.0,3.1866,1.2485,0.1179,0.4306,0.0363,3.6509,4.9753
Os07t0157401-01_Os07t0156732-01,Os07t0157401-01,Os07t0156732-01,544.3,1264.7,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os08t0552400-00_Os11t0160000-00,Os08t0552400-00,Os11t0160000-00,185.2,549.8,2.1239,2.4971,0.3231,0.4634,0.038,1.4342,0.4297
Os01t0117700-00_Os01t0114700-00,Os01t0117700-00,Os01t0114700-00,454.5,1357.5,1.6683,1.7575,0.2147,0.29,0.0171,1.3509,0.2606
Os01t0274500-00_Os05t0276500-01,Os01t0274500-00,Os05t0276500-01,81.3,620.7,1.9635,1.9001,0.0935,0.3083,0.0264,3.2984,3.9507
Os02t0744200-01_Os10t0535900-00,Os02t0744200-01,Os10t0535900-00,103.7,676.3,2.4989,1.3177,0.1226,0.4267,0.0319,3.4813,4.4519
Os05t0212900-00_Os07t0271500-01,Os05t0212900-00,Os07t0271500-01,252.9,920.1,3.5176,2.1894,0.0854,0.3543,0.024,4.1497,6.9128
Os01t0249100-00_Os04t0228400-01,Os01t0249100-00,Os04t0228400-01,79.0,575.0,1.5969,1.3619,0.1205,0.2829,0.0259,2.3473,1.1586
Os08t0561250-00_Os12t0407750-00,Os08t0561250-00,Os12t0407750-00,82.8,286.2,3.123,2.1192,0.1159,0.3838,0.0458,3.3124,3.9867
Os01t0201100-01_Os12t0639700-01,Os01t0201100-01,Os12t0639700-01,195.1,1058.9,2.703,1.4224,0.0855,0.3382,0.0215,3.9552,6.0794
Os01t0675000-01_Os02t0272300-01,Os01t0675000-01,Os02t0272300-01,256.4,1234.6,2.9432,1.5971,0.0771,0.3209,0.0192,4.16,6.9602
Os01t0210600-02_Os07t0120300-00,Os01t0210600-02,Os07t0120300-00,49.1,373.9,35.3522,0.844,0.0034,0.3329,0.0359,99.0,0.0
Os07t0650600-04_Os07t0650375-00,Os07t0650600-04,Os07t0650375-00,588.3,1484.7,1.2778,2.5801,0.4494,0.3161,0.0175,0.7032,0.0616
Os11t0206000-01_Os04t0330301-00,Os11t0206000-01,Os04t0330301-00,133.1,259.9,0.0077,4.6,99.0,0.0039,0.0039,-0.0,0.0
Os03t0788000-00_Os03t0813700-00,Os03t0788000-00,Os03t0813700-00,213.9,404.1,0.5117,3.9255,2.1743,0.2098,0.0255,0.0965,0.0227
Os07t0232800-00_Os03t0667300-00,Os07t0232800-00,Os03t0667300-00,152.7,915.3,2.5611,1.9656,0.0972,0.3667,0.0245,3.7716,5.3863
Os01t0817650-00_Os05t0484800-01,Os01t0817650-00,Os05t0484800-01,78.3,557.7,1.6913,2.3634,0.0561,0.1835,0.02,3.2708,3.8803
Os01t0835900-00_Os05t0466600-01,Os01t0835900-00,Os05t0466600-01,11.1,297.9,0.2671,15.5854,0.0014,0.0034,0.0034,2.3816,3.2261
Os05t0169800-00_Os01t0170500-01,Os05t0169800-00,Os01t0170500-01,176.9,1074.1,0.9021,1.833,0.1616,0.1734,0.0139,1.0734,0.2385
Os01t0252100-03_Os10t0521700-01,Os01t0252100-03,Os10t0521700-01,299.6,903.4,2.322,2.3432,0.069,0.1774,0.0154,2.573,0.7964
Os11t0637300-00_Os08t0193200-00,Os11t0637300-00,Os08t0193200-00,81.9,251.1,3.9384,2.9987,0.0919,0.3828,0.0489,4.1653,12.4041
Os01t0549300-01_Os08t0178900-00,Os01t0549300-01,Os08t0178900-00,417.5,1136.5,0.0174,3.3384,0.7335,0.0053,0.0022,0.0072,0.0042
Os06t0323550-00_Os08t0172566-00,Os06t0323550-00,Os08t0172566-00,136.1,682.9,2.0782,1.3259,0.0261,0.0963,0.0125,3.6851,5.0885
Os11t0272675-00_Os12t0562166-00,Os11t0272675-00,Os12t0562166-00,140.9,486.1,0.2455,4.1511,0.1237,0.0316,0.0082,0.2553,0.0536
Os01t0897200-01_Os01t0897300-01,Os01t0897200-01,Os01t0897300-01,202.6,625.4,1.6329,1.9351,0.4214,0.4074,0.0321,0.9668,0.1573
Os02t0169700-01_Os10t0516100-02,Os02t0169700-01,Os10t0516100-02,114.5,317.5,2.2739,2.0848,0.2658,0.4375,0.0479,1.6462,0.3956
Os11t0110200-00_Os10t0121300-00,Os11t0110200-00,Os10t0121300-00,177.2,407.8,0.0466,4.6,1.5264,0.0174,0.0066,0.0114,0.0081
Os04t0179200-01_Os03t0833100-01,Os04t0179200-01,Os03t0833100-01,113.5,669.5,1.9493,1.4592,0.1819,0.3934,0.0302,2.1627,0.7631
Os12t0231000-01_Os11t0283500-01,Os12t0231000-01,Os11t0283500-01,273.0,1425.0,2.0052,1.9476,0.1151,0.299,0.0171,2.5964,1.8822
Os04t0453400-02_Os04t0453200-01,Os04t0453400-02,Os04t0453200-01,185.7,1320.3,1.6304,2.2707,0.1058,0.2661,0.0164,2.5151,0.9384
Os06t0599200-01_Os08t0465700-01,Os06t0599200-01,Os08t0465700-01,219.0,1275.0,1.4688,2.0157,0.1578,0.2747,0.017,1.7411,0.3266
Os04t0531400-01_Os07t0283050-00,Os04t0531400-01,Os07t0283050-00,447.8,1448.2,3.9966,2.1862,0.0717,0.3284,0.0181,4.5783,9.1839
Os12t0269600-00_Os07t0219250-00,Os12t0269600-00,Os07t0219250-00,121.7,331.3,0.7916,2.2264,0.6947,0.236,0.0303,0.3397,0.069
Os08t0189500-01_Os08t0188900-01,Os08t0189500-01,Os08t0188900-01,189.6,461.4,1.1082,2.7975,0.1569,0.144,0.0191,0.9177,0.1799
Os08t0501200-00_Os09t0339300-00,Os08t0501200-00,Os09t0339300-00,405.9,1214.1,1.0955,1.7149,0.431,0.2744,0.0175,0.6366,0.0659
Os09t0284200-01_Os03t0805300-01,Os09t0284200-01,Os03t0805300-01,200.4,711.6,3.2817,1.2034,0.0711,0.2825,0.0232,3.9752,6.1601
Os02t0763000-01_Os03t0830400-01,Os02t0763000-01,Os03t0830400-01,62.4,378.6,2.3053,1.3487,0.1238,0.3839,0.0395,3.1005,3.4743
Os07t0484200-01_Os03t0243100-01,Os07t0484200-01,Os03t0243100-01,40.2,376.8,1.5652,1.4682,0.1017,0.2818,0.0319,2.7705,2.8106
Os03t0397600-00_Os02t0139300-01,Os03t0397600-00,Os02t0139300-01,264.5,1184.5,3.2457,1.5192,0.0931,0.3894,0.0225,4.1833,7.0685
Os07t0298400-01_Os04t0387600-01,Os07t0298400-01,Os04t0387600-01,25.9,181.1,1.1501,2.5063,0.1779,0.2429,0.0418,1.3654,1.7734
Os02t0291000-00_Os12t0162400-01,Os02t0291000-00,Os12t0162400-01,163.3,469.7,2.3538,2.5044,0.2101,0.3983,0.0366,1.8953,1.099
Os08t0376300-01_Os09t0326100-01,Os08t0376300-01,Os09t0326100-01,525.1,2321.9,3.3376,1.6035,0.0642,0.3018,0.0134,4.6977,9.9411
Os04t0186450-00_Os03t0136450-00,Os04t0186450-00,Os03t0136450-00,252.1,614.9,0.7504,0.8545,1.2062,0.2632,0.0242,0.2182,0.0333
Os12t0511600-00_Os12t0511400-02,Os12t0511600-00,Os12t0511400-02,924.8,2726.2,1.1349,2.0274,0.6063,0.3249,0.0131,0.5358,0.0369
Os02t0139700-01_Os11t0562100-01,Os02t0139700-01,Os11t0562100-01,551.9,1716.1,1.7843,1.5019,0.234,0.3311,0.0167,1.4146,0.135
Os10t0167900-00_Os10t0162856-00,Os10t0167900-00,Os10t0162856-00,334.8,859.2,0.7937,3.5077,0.1178,0.0854,0.0104,0.7243,0.0953
Os08t0156600-01_Os02t0652800-01,Os08t0156600-01,Os02t0652800-01,378.6,1046.4,4.4356,1.6431,0.0904,0.4024,0.0245,4.4524,8.4478
Os09t0344500-01_Os07t0464200-00,Os09t0344500-01,Os07t0464200-00,223.6,811.4,2.3762,1.3118,0.2169,0.445,0.03,2.0513,0.4717
Os05t0329200-00_Os12t0269600-00,Os05t0329200-00,Os12t0269600-00,87.3,242.7,0.8274,2.0601,0.5906,0.2331,0.0352,0.3947,0.0934
Os07t0510500-01_Os07t0503900-01,Os07t0510500-01,Os07t0503900-01,178.2,1237.8,1.2028,2.0822,0.1955,0.2641,0.0168,1.3513,0.2196
Os05t0524900-00_Os09t0265225-00,Os05t0524900-00,Os09t0265225-00,170.4,384.6,1.0188,0.8949,1.0556,0.3452,0.0364,0.327,0.0529
Os11t0239000-00_Os11t0239200-00,Os11t0239000-00,Os11t0239200-00,162.4,1031.6,0.2758,2.0534,0.3619,0.0742,0.0088,0.2049,0.0422
Os05t0129700-01_Os01t0302500-01,Os05t0129700-01,Os01t0302500-01,155.8,726.2,0.8024,1.2964,0.0802,0.0884,0.0115,1.1024,0.2336
Os10t0528900-01_Os10t0530400-01,Os10t0528900-01,Os10t0530400-01,100.3,589.7,1.5573,1.4983,0.1794,0.3118,0.0272,1.7383,0.4912
Os03t0102400-01_Os07t0466200-01,Os03t0102400-01,Os07t0466200-01,338.3,1074.7,0.137,1.6356,0.4049,0.0338,0.0057,0.0834,0.0166
Os07t0480900-01_Os02t0469600-01,Os07t0480900-01,Os02t0469600-01,179.9,921.1,2.8648,1.2454,0.0978,0.3807,0.0251,3.8944,5.8403
Os04t0225067-00_Os01t0737550-00,Os04t0225067-00,Os01t0737550-00,168.6,428.4,0.9628,1.1298,0.8171,0.3018,0.0314,0.3694,0.0582
Os07t0663900-00_Os07t0592100-01,Os07t0663900-00,Os07t0592100-01,118.8,745.2,1.7853,1.8928,0.1202,0.2967,0.0235,2.468,1.1041
Os03t0245200-01_Os10t0149800-00,Os03t0245200-01,Os10t0149800-00,109.9,481.1,1.5022,1.1459,0.3538,0.3737,0.0343,1.0563,0.223
Os01t0743800-00_Os05t0186100-01,Os01t0743800-00,Os05t0186100-01,114.7,338.3,1.6179,2.819,0.1575,0.229,0.0297,1.4541,0.3111
Os06t0526800-00_Os06t0526700-00,Os06t0526800-00,Os06t0526700-00,288.7,761.3,0.8043,1.6387,0.5038,0.211,0.0187,0.4188,0.0498
Os11t0656201-00_Os11t0656601-01,Os11t0656201-00,Os11t0656601-01,103.7,172.3,0.0442,4.6,0.1974,0.0058,0.0058,0.0295,0.0171
Os02t0756800-01_Os06t0220200-00,Os02t0756800-01,Os06t0220200-00,154.4,793.6,2.6362,1.5646,0.0832,0.3145,0.0236,3.7795,5.4144
Os07t0608400-01_Os01t0887700-01,Os07t0608400-01,Os01t0887700-01,165.3,590.7,2.0429,1.5353,0.1304,0.277,0.0253,2.1246,0.6023
Os01t0623500-01_Os05t0584600-02,Os01t0623500-01,Os05t0584600-02,611.3,1815.7,1.6359,1.9386,0.2573,0.3157,0.0157,1.2271,0.1516
Os04t0317800-01_Os04t0317500-01,Os04t0317800-01,Os04t0317500-01,84.2,266.8,0.5222,2.3991,0.0611,0.0371,0.012,0.6077,0.1607
Os02t0249600-01_Os02t0268100-01,Os02t0249600-01,Os02t0268100-01,401.3,1083.7,0.6472,3.1026,0.1669,0.0918,0.0097,0.5503,0.062
Os01t0850550-00_Os01t0850700-02,Os01t0850550-00,Os01t0850700-02,282.8,1376.2,2.5917,1.5725,0.1072,0.3569,0.0196,3.3307,4.6264
Os04t0326100-00_Os04t0320700-02,Os04t0326100-00,Os04t0320700-02,158.6,1293.4,1.1982,2.0654,0.1001,0.2015,0.0139,2.0134,0.5337
Os08t0189400-01_Os01t0284500-01,Os08t0189400-01,Os01t0284500-01,138.6,503.4,3.4482,1.3855,0.1209,0.4472,0.0383,3.6989,5.1348
Os02t0156633-00_Os02t0155600-00,Os02t0156633-00,Os02t0155600-00,554.9,1416.1,1.5133,2.8345,0.3914,0.3508,0.0193,0.8965,0.0949
Os01t0249100-00_Os02t0268600-00,Os01t0249100-00,Os02t0268600-00,97.6,553.4,1.7434,1.4085,0.1607,0.326,0.029,2.0285,0.7931
Os11t0161000-01_Os11t0161100-01,Os11t0161000-01,Os11t0161100-01,367.7,1234.3,0.3197,1.3999,0.5037,0.0869,0.0088,0.1725,0.0244
Os11t0705900-01_Os04t0590400-01,Os11t0705900-01,Os04t0590400-01,398.6,1458.4,4.1554,1.5354,0.1194,0.5363,0.0261,4.491,8.6666
Os02t0267350-00_Os05t0477666-00,Os02t0267350-00,Os05t0477666-00,207.5,383.5,0.9934,0.8374,1.2982,0.3602,0.0378,0.2774,0.0426
Os10t0149400-00_Os10t0149000-00,Os10t0149400-00,Os10t0149000-00,116.1,498.9,0.1683,5.0337,0.1277,0.0245,0.0071,0.1919,0.0478
Os11t0656400-00_Os12t0538700-01,Os11t0656400-00,Os12t0538700-01,33.6,275.4,1.5135,2.3562,0.0927,0.2443,0.034,2.6362,2.5809
Os03t0327600-01_Os07t0683900-01,Os03t0327600-01,Os07t0683900-01,61.9,955.1,0.9364,1.6394,0.0426,0.1319,0.0126,3.094,3.4599
Os08t0542500-00_Os02t0778801-00,Os08t0542500-00,Os02t0778801-00,123.3,272.7,0.0459,1.8444,0.9045,0.0148,0.0074,0.0164,0.0116
Os08t0302000-01_Os03t0434800-00,Os08t0302000-01,Os03t0434800-00,183.1,818.9,2.8889,1.494,0.1311,0.4356,0.0294,3.3223,2.7164
Os08t0509400-01_Os09t0491100-01,Os08t0509400-01,Os09t0491100-01,266.6,1212.4,2.0789,2.2294,0.0804,0.2264,0.0154,2.815,1.1568
Os08t0543700-00_Os09t0519100-00,Os08t0543700-00,Os09t0519100-00,115.4,598.6,1.7853,1.4843,0.0987,0.2404,0.0229,2.4355,1.0742
Os07t0131600-01_Os03t0594400-01,Os07t0131600-01,Os03t0594400-01,235.4,1309.6,2.775,1.5276,0.0867,0.3552,0.02,4.0958,6.6709
Os11t0525600-01_Os10t0140200-01,Os11t0525600-01,Os10t0140200-01,719.7,2280.3,2.1992,1.4269,0.1872,0.3591,0.0153,1.9182,0.2221
Os02t0244600-01_Os08t0116400-01,Os02t0244600-01,Os08t0116400-01,230.1,675.9,2.0297,1.015,0.1719,0.3044,0.0251,1.7702,0.3724
Os07t0475000-01_Os07t0189700-01,Os07t0475000-01,Os07t0189700-01,102.6,551.4,1.5176,1.8621,0.1776,0.293,0.027,1.6502,0.5545
Os07t0691800-01_Os02t0325100-01,Os07t0691800-01,Os02t0325100-01,303.1,953.9,3.2185,1.3385,0.1954,0.5383,0.0324,2.7553,2.4314
Os03t0200500-01_Os12t0406200-01,Os03t0200500-01,Os12t0406200-01,179.4,600.6,0.7602,2.9262,0.0345,0.0341,0.0077,0.9876,0.1711
Os07t0283050-00_Os03t0258000-01,Os07t0283050-00,Os03t0258000-01,400.5,1099.5,2.1487,2.3517,0.1885,0.3332,0.021,1.7678,0.2464
Os09t0268100-00_Os03t0258000-01,Os09t0268100-00,Os03t0258000-01,341.7,915.3,2.149,2.5881,0.2778,0.4197,0.0273,1.5109,0.1935
Os06t0115100-01_Os02t0609200-00,Os06t0115100-01,Os02t0609200-00,55.9,175.1,2.3662,3.257,0.1289,0.2994,0.0491,2.3233,1.3361
Os10t0149400-00_Os10t0149100-00,Os10t0149400-00,Os10t0149100-00,83.6,369.4,0.0625,6.0434,0.1066,0.0082,0.0047,0.0767,0.0323
Os07t0148600-00_Os08t0240000-02,Os07t0148600-00,Os08t0240000-02,204.9,821.1,2.4922,1.6756,0.1472,0.3851,0.0268,2.6162,1.0184
Os08t0283900-00_Os11t0272675-00,Os08t0283900-00,Os11t0272675-00,153.4,665.6,0.4556,1.7657,0.0819,0.049,0.0088,0.5982,0.109
Os05t0514300-02_Os03t0351400-01,Os05t0514300-02,Os03t0351400-01,191.8,597.2,3.3291,1.4078,0.1024,0.3545,0.0296,3.4614,3.1889
Os10t0467800-01_Os07t0208500-01,Os10t0467800-01,Os07t0208500-01,566.4,2484.6,3.2161,1.2612,0.0489,0.2326,0.011,4.7544,10.3232
Os02t0267700-00_Os01t0274500-00,Os02t0267700-00,Os01t0274500-00,100.2,601.8,2.3079,1.6311,0.0931,0.3218,0.0276,3.4557,4.3778
Os09t0536300-00_Os03t0244200-02,Os09t0536300-00,Os03t0244200-02,111.9,632.1,1.309,2.0422,0.0999,0.1852,0.0189,1.8543,1.3159
Os06t0590600-01_Os02t0139300-01,Os06t0590600-01,Os02t0139300-01,245.0,1192.0,3.1166,1.2984,0.098,0.4042,0.0231,4.126,6.8056
Os10t0412350-00_Os12t0562166-00,Os10t0412350-00,Os12t0562166-00,134.3,492.7,0.23,3.2294,0.1038,0.0269,0.0075,0.2591,0.0555
Os01t0588400-01_Os08t0398400-01,Os01t0588400-01,Os08t0398400-01,188.9,636.1,3.1334,2.2582,0.0477,0.1876,0.019,3.9307,5.9819
Os06t0723900-01_Os06t0719600-01,Os06t0723900-01,Os06t0719600-01,348.2,1115.8,0.0103,4.006,0.4672,0.0027,0.0016,0.0058,0.0041
Os07t0220466-00_Os02t0255400-00,Os07t0220466-00,Os02t0255400-00,138.5,536.5,1.2995,2.2037,0.0572,0.0988,0.0144,1.7286,0.3988
Os01t0927900-01_Os03t0850400-01,Os01t0927900-01,Os03t0850400-01,426.8,1145.2,1.3724,1.5541,0.1204,0.1534,0.0125,1.2734,0.1868
Os05t0442000-00_Os01t0863500-01,Os05t0442000-00,Os01t0863500-01,52.6,298.4,1.1622,0.8406,0.1523,0.2112,0.0299,1.3867,0.4224
Os02t0270900-00_Os04t0127200-02,Os02t0270900-00,Os04t0127200-02,451.1,1144.9,2.6229,1.7328,0.2493,0.4723,0.0265,1.8947,0.2723
Os11t0532900-01_Os11t0532000-01,Os11t0532900-01,Os11t0532000-01,203.5,492.5,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os09t0507200-01_Os04t0580700-01,Os09t0507200-01,Os04t0580700-01,144.9,572.1,3.0297,1.0853,0.1291,0.4275,0.035,3.3101,3.0053
Os01t0115750-00_Os01t0113400-01,Os01t0115750-00,Os01t0113400-01,491.3,1452.7,1.7105,2.0057,0.259,0.3309,0.0181,1.2776,0.1939
Os08t0476400-01_Os11t0138400-00,Os08t0476400-01,Os11t0138400-00,242.8,600.2,1.7914,2.0863,0.3744,0.4032,0.0326,1.0767,0.158
Os09t0533600-01_Os07t0495150-00,Os09t0533600-01,Os07t0495150-00,264.2,938.8,2.6535,1.7025,0.1331,0.3639,0.0241,2.7342,1.0456
Os02t0236600-01_Os07t0677500-00,Os02t0236600-01,Os07t0677500-00,143.0,787.0,2.5872,1.4532,0.0921,0.3428,0.0252,3.7221,5.2137
Os02t0261100-01_Os02t0120600-01,Os02t0261100-01,Os02t0120600-01,107.6,336.4,1.4653,2.3566,0.0372,0.0671,0.0146,1.8061,0.4988
Os06t0623600-01_Os09t0491788-01,Os06t0623600-01,Os09t0491788-01,239.5,720.5,1.8422,1.5556,0.3534,0.4216,0.0306,1.1931,0.2372
Os11t0565000-01_Os11t0564900-00,Os11t0565000-01,Os11t0564900-00,695.8,2025.2,1.4912,2.0037,0.3372,0.3308,0.0153,0.981,0.1042
Os10t0456600-01_Os02t0653800-01,Os10t0456600-01,Os02t0653800-01,135.3,470.7,3.6349,1.1847,0.1363,0.5017,0.0438,3.6808,5.074
Os02t0697400-01_Os06t0656500-01,Os02t0697400-01,Os06t0656500-01,256.0,1385.0,2.5911,1.2339,0.0612,0.2545,0.0155,4.159,6.9555
Os02t0103700-01_Os09t0485900-01,Os02t0103700-01,Os09t0485900-01,66.9,503.1,1.03,2.9968,0.0057,0.0161,0.0057,2.803,2.2727
Os06t0367900-01_Os01t0665200-01,Os06t0367900-01,Os01t0665200-01,377.2,1332.8,2.9403,1.5508,0.0904,0.3045,0.0178,3.367,2.0073
Os06t0142100-00_Os03t0217200-01,Os06t0142100-00,Os03t0217200-01,390.3,1133.7,1.5229,2.2044,0.4599,0.3903,0.0232,0.8486,0.1032
Os06t0234900-00_Os06t0235100-00,Os06t0234900-00,Os06t0235100-00,160.5,1102.5,1.0766,1.5081,0.2275,0.2507,0.0172,1.1019,0.2221
Os05t0530500-02_Os03t0289100-02,Os05t0530500-02,Os03t0289100-02,325.8,1177.2,3.2444,1.4415,0.0357,0.1577,0.0126,4.4193,8.7146
Os07t0541900-01_Os07t0542600-01,Os07t0541900-01,Os07t0542600-01,408.8,1412.2,0.7304,2.2573,0.2616,0.149,0.0111,0.5697,0.0593
Os03t0369800-01_Os06t0715100-02,Os03t0369800-01,Os06t0715100-02,171.0,612.0,1.6559,1.215,0.18,0.2767,0.0248,1.537,0.2825
Os12t0143400-00_Os11t0146700-02,Os12t0143400-00,Os11t0146700-02,359.9,1248.1,0.1687,1.844,0.1358,0.0232,0.0044,0.1708,0.025
Os08t0283900-00_Os03t0199800-00,Os08t0283900-00,Os03t0199800-00,127.8,565.2,0.754,1.8909,0.1307,0.1129,0.0151,0.8639,0.2086
Os04t0420900-02_Os04t0420033-00,Os04t0420900-02,Os04t0420033-00,607.9,1804.1,1.9041,2.3125,0.2416,0.3543,0.0172,1.4668,0.2647
Os12t0163400-01_Os07t0667000-01,Os12t0163400-01,Os07t0667000-01,297.8,920.2,2.6865,1.6444,0.1467,0.3698,0.0246,2.5202,0.746
Os05t0386800-02_Os10t0497700-01,Os05t0386800-02,Os10t0497700-01,299.2,960.8,0.9232,1.5427,0.2739,0.1888,0.0155,0.6895,0.0857
Os10t0439100-00_Os05t0277000-00,Os10t0439100-00,Os05t0277000-00,97.3,646.7,2.2167,1.3,0.097,0.3332,0.0273,3.4337,4.3152
Os12t0107600-00_Os05t0474400-01,Os12t0107600-00,Os05t0474400-01,79.7,574.3,1.9196,1.0961,0.0832,0.2732,0.0254,3.2834,3.9122
Os12t0169950-00_Os03t0788550-00,Os12t0169950-00,Os03t0788550-00,190.1,433.9,1.1747,1.0425,1.0357,0.3957,0.038,0.3821,0.0567
Os05t0429900-01_Os09t0538400-01,Os05t0429900-01,Os09t0538400-01,98.4,645.6,2.1914,1.6122,0.0921,0.3171,0.0264,3.4419,4.3386
Os02t0577700-00_Os08t0404000-00,Os02t0577700-00,Os08t0404000-00,153.3,1130.7,1.3055,1.9626,0.1603,0.2677,0.0178,1.6702,0.3523
Os10t0570700-00_Os03t0683300-01,Os10t0570700-00,Os03t0683300-01,117.5,734.5,0.9706,1.8599,0.239,0.2248,0.0198,0.9407,0.1966
Os08t0550700-00_Os09t0545300-01,Os08t0550700-00,Os09t0545300-01,99.1,329.9,2.117,2.067,0.1935,0.3596,0.0404,1.8578,0.5546
Os07t0634400-01_Os01t0973000-01,Os07t0634400-01,Os01t0973000-01,177.5,635.5,3.5868,1.0249,0.1145,0.4447,0.0341,3.8842,5.8009
Os03t0688300-01_Os11t0171500-01,Os03t0688300-01,Os11t0171500-01,279.4,1259.6,3.2712,1.211,0.0936,0.3954,0.0221,4.2244,7.2631
