Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
cellular macromolecule localization (GO:0070727)	52	-	5.28E-01	7.70E-01
protein localization (GO:0008104)	52	-	5.28E-01	7.69E-01
aromatic compound catabolic process (GO:0019439)	24	+	5.28E-01	7.69E-01
organic cyclic compound catabolic process (GO:1901361)	24	+	5.28E-01	7.68E-01
NADP metabolic process (GO:0006739)	6	-	5.32E-01	7.72E-01
protein deubiquitination (GO:0016579)	12	+	5.34E-01	7.74E-01
polyamine metabolic process (GO:0006595)	3	+	5.36E-01	7.75E-01
phospholipid catabolic process (GO:0009395)	3	+	5.41E-01	7.81E-01
regulatory ncRNA-mediated gene silencing (GO:0031047)	3	+	5.41E-01	7.80E-01
regulation of phosphate metabolic process (GO:0019220)	3	+	5.47E-01	7.88E-01
regulation of phosphorus metabolic process (GO:0051174)	3	+	5.47E-01	7.87E-01
glucan metabolic process (GO:0044042)	9	+	5.49E-01	7.89E-01
monoatomic cation homeostasis (GO:0055080)	13	-	5.50E-01	7.89E-01
regulation of RNA metabolic process (GO:0051252)	97	-	5.54E-01	7.94E-01
amino acid biosynthetic process (GO:0008652)	16	-	5.58E-01	7.99E-01
purine nucleotide metabolic process (GO:0006163)	25	+	5.64E-01	8.06E-01
chaperone-mediated protein folding (GO:0061077)	5	+	5.68E-01	8.10E-01
cellular lipid catabolic process (GO:0044242)	11	+	5.68E-01	8.10E-01
lipid catabolic process (GO:0016042)	11	+	5.68E-01	8.08E-01
transport (GO:0006810)	142	+	5.71E-01	8.12E-01
response to nitrogen compound (GO:1901698)	6	+	5.75E-01	8.16E-01
response to hormone (GO:0009725)	9	+	5.76E-01	8.16E-01
response to endogenous stimulus (GO:0009719)	9	+	5.76E-01	8.15E-01
amino acid metabolic process (GO:0006520)	46	-	5.78E-01	8.18E-01
organelle localization (GO:0051640)	17	-	5.81E-01	8.21E-01
proteasomal protein catabolic process (GO:0010498)	29	-	5.83E-01	8.22E-01
cytoplasmic translational initiation (GO:0002183)	2	+	5.84E-01	8.23E-01
cellular response to heat (GO:0034605)	4	-	5.88E-01	8.28E-01
inner mitochondrial membrane organization (GO:0007007)	4	-	5.91E-01	8.30E-01
mitochondrial membrane organization (GO:0007006)	4	-	5.91E-01	8.28E-01
response to extracellular stimulus (GO:0009991)	4	-	5.91E-01	8.27E-01
nucleobase-containing compound transport (GO:0015931)	4	-	5.91E-01	8.26E-01
response to nutrient levels (GO:0031667)	4	-	5.91E-01	8.25E-01
phospholipid metabolic process (GO:0006644)	19	+	5.92E-01	8.27E-01
calcium ion transmembrane transport (GO:0070588)	5	+	5.93E-01	8.26E-01
calcium ion transport (GO:0006816)	5	+	5.93E-01	8.25E-01
organelle membrane fusion (GO:0090174)	10	-	5.98E-01	8.31E-01
organelle fusion (GO:0048284)	10	-	5.98E-01	8.30E-01
organonitrogen compound catabolic process (GO:1901565)	77	+	5.98E-01	8.29E-01
maintenance of location (GO:0051235)	3	-	6.05E-01	8.37E-01
meiotic cell cycle process (GO:1903046)	3	-	6.05E-01	8.36E-01
maintenance of location in cell (GO:0051651)	3	-	6.05E-01	8.35E-01
nucleoside monophosphate metabolic process (GO:0009123)	3	-	6.05E-01	8.34E-01
fatty acid biosynthetic process (GO:0006633)	3	-	6.05E-01	8.33E-01
protein lipidation (GO:0006497)	3	-	6.05E-01	8.32E-01
lipoprotein biosynthetic process (GO:0042158)	3	-	6.05E-01	8.31E-01
lipoprotein metabolic process (GO:0042157)	3	-	6.05E-01	8.30E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	3	+	6.06E-01	8.30E-01
'de novo' protein folding (GO:0006458)	3	+	6.06E-01	8.29E-01
macromolecule localization (GO:0033036)	61	-	6.09E-01	8.33E-01
inorganic ion transmembrane transport (GO:0098660)	18	+	6.10E-01	8.32E-01
phosphatidylinositol dephosphorylation (GO:0046856)	6	+	6.11E-01	8.33E-01
proteolysis (GO:0006508)	65	-	6.14E-01	8.36E-01
heterochromatin organization (GO:0070828)	2	+	6.14E-01	8.35E-01
heterochromatin formation (GO:0031507)	2	+	6.14E-01	8.34E-01
protein catabolic process (GO:0030163)	55	-	6.18E-01	8.39E-01
proteolysis involved in protein catabolic process (GO:0051603)	55	-	6.18E-01	8.38E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	38	-	6.19E-01	8.37E-01
monoatomic ion homeostasis (GO:0050801)	14	-	6.25E-01	8.45E-01
negative regulation of metabolic process (GO:0009892)	16	-	6.26E-01	8.44E-01
negative regulation of macromolecule metabolic process (GO:0010605)	16	-	6.26E-01	8.43E-01
negative regulation of cellular metabolic process (GO:0031324)	16	-	6.26E-01	8.42E-01
nucleotide metabolic process (GO:0009117)	30	+	6.29E-01	8.45E-01
organonitrogen compound metabolic process (GO:1901564)	295	+	6.36E-01	8.54E-01
isoprenoid metabolic process (GO:0006720)	11	+	6.37E-01	8.54E-01
regulation of catabolic process (GO:0009894)	11	+	6.38E-01	8.55E-01
protein targeting to ER (GO:0045047)	3	+	6.39E-01	8.55E-01
actin filament bundle assembly (GO:0051017)	3	+	6.39E-01	8.54E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	3	+	6.39E-01	8.53E-01
actin filament bundle organization (GO:0061572)	3	+	6.39E-01	8.52E-01
regulation of cellular component organization (GO:0051128)	3	+	6.39E-01	8.51E-01
regulation of organelle organization (GO:0033043)	3	+	6.39E-01	8.50E-01
RNA export from nucleus (GO:0006405)	2	+	6.41E-01	8.50E-01
RNA localization (GO:0006403)	2	+	6.41E-01	8.49E-01
establishment of RNA localization (GO:0051236)	2	+	6.41E-01	8.48E-01
protein K48-linked deubiquitination (GO:0071108)	2	+	6.41E-01	8.47E-01
transcription elongation by RNA polymerase II (GO:0006368)	2	+	6.41E-01	8.46E-01
RNA transport (GO:0050658)	2	+	6.41E-01	8.45E-01
nucleic acid transport (GO:0050657)	2	+	6.41E-01	8.44E-01
regulation of cell cycle (GO:0051726)	12	+	6.43E-01	8.45E-01
establishment of localization (GO:0051234)	153	+	6.46E-01	8.49E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	7	-	6.49E-01	8.51E-01
membrane lipid biosynthetic process (GO:0046467)	7	+	6.52E-01	8.54E-01
organic substance catabolic process (GO:1901575)	105	+	6.56E-01	8.58E-01
inorganic cation transmembrane transport (GO:0098662)	17	+	6.56E-01	8.57E-01
polysaccharide metabolic process (GO:0005976)	15	+	6.57E-01	8.58E-01
protein-containing complex disassembly (GO:0032984)	8	+	6.57E-01	8.57E-01
lipid biosynthetic process (GO:0008610)	29	+	6.62E-01	8.62E-01
positive regulation of cellular metabolic process (GO:0031325)	20	+	6.64E-01	8.63E-01
glycerolipid metabolic process (GO:0046486)	16	-	6.68E-01	8.68E-01
biological regulation (GO:0065007)	211	+	6.72E-01	8.72E-01
intracellular protein transmembrane transport (GO:0065002)	5	-	6.79E-01	8.81E-01
regulation of cellular process (GO:0050794)	173	+	6.80E-01	8.80E-01
phosphatidylinositol biosynthetic process (GO:0006661)	3	+	6.80E-01	8.79E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	3	+	6.80E-01	8.78E-01
cellular catabolic process (GO:0044248)	57	+	6.80E-01	8.77E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	12	-	6.81E-01	8.77E-01
exocytosis (GO:0006887)	6	-	6.81E-01	8.77E-01
post-embryonic development (GO:0009791)	6	+	6.82E-01	8.77E-01
positive regulation of cellular process (GO:0048522)	22	+	6.83E-01	8.77E-01
phospholipid transport (GO:0015914)	2	+	6.90E-01	8.85E-01
regulation of developmental process (GO:0050793)	6	-	6.93E-01	8.88E-01
intracellular chemical homeostasis (GO:0055082)	12	-	7.01E-01	8.97E-01
localization (GO:0051179)	164	+	7.04E-01	8.99E-01
regulation of proteasomal protein catabolic process (GO:0061136)	2	-	7.04E-01	8.98E-01
ATP biosynthetic process (GO:0006754)	2	-	7.04E-01	8.97E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	2	-	7.04E-01	8.96E-01
lysine biosynthetic process (GO:0009085)	2	-	7.04E-01	8.94E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	2	-	7.04E-01	8.93E-01
mitochondrial RNA metabolic process (GO:0000959)	2	-	7.04E-01	8.92E-01
positive regulation of proteolysis (GO:0045862)	2	-	7.04E-01	8.91E-01
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	2	-	7.04E-01	8.90E-01
regulation of proteolysis involved in protein catabolic process (GO:1903050)	2	-	7.04E-01	8.89E-01
regulation of proteolysis (GO:0030162)	2	-	7.04E-01	8.88E-01
Golgi to vacuole transport (GO:0006896)	2	-	7.04E-01	8.87E-01
inorganic anion transport (GO:0015698)	2	-	7.04E-01	8.86E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	2	-	7.04E-01	8.85E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	2	-	7.04E-01	8.84E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	2	-	7.04E-01	8.83E-01
amino sugar metabolic process (GO:0006040)	2	-	7.04E-01	8.82E-01
proton motive force-driven ATP synthesis (GO:0015986)	2	-	7.04E-01	8.81E-01
phosphate ion transport (GO:0006817)	2	-	7.04E-01	8.80E-01
endoplasmic reticulum tubular network organization (GO:0071786)	2	-	7.04E-01	8.79E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	-	7.04E-01	8.78E-01
mRNA modification (GO:0016556)	2	-	7.04E-01	8.77E-01
nucleobase metabolic process (GO:0009112)	2	-	7.04E-01	8.76E-01
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	2	-	7.04E-01	8.75E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	2	-	7.04E-01	8.73E-01
negative regulation of mitotic cell cycle (GO:0045930)	2	-	7.04E-01	8.72E-01
RNA decapping (GO:0110154)	2	-	7.04E-01	8.71E-01
regulatory ncRNA processing (GO:0070918)	2	-	7.04E-01	8.70E-01
anaphase-promoting complex-dependent catabolic process (GO:0031145)	2	-	7.04E-01	8.69E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	19	+	7.11E-01	8.77E-01
positive regulation of RNA metabolic process (GO:0051254)	19	+	7.11E-01	8.76E-01
peptidyl-threonine phosphorylation (GO:0018107)	3	-	7.14E-01	8.79E-01
negative regulation of cellular process (GO:0048523)	21	-	7.14E-01	8.79E-01
negative regulation of biological process (GO:0048519)	21	-	7.14E-01	8.78E-01
positive regulation of metabolic process (GO:0009893)	24	+	7.15E-01	8.77E-01
positive regulation of macromolecule metabolic process (GO:0010604)	24	+	7.15E-01	8.76E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	24	+	7.15E-01	8.75E-01
translational elongation (GO:0006414)	4	+	7.17E-01	8.77E-01
protein import into chloroplast stroma (GO:0045037)	2	+	7.28E-01	8.90E-01
mitochondrial gene expression (GO:0140053)	2	+	7.28E-01	8.89E-01
regulation of RNA splicing (GO:0043484)	2	+	7.28E-01	8.88E-01
regulation of mRNA processing (GO:0050684)	2	+	7.28E-01	8.87E-01
positive regulation of biological process (GO:0048518)	26	+	7.30E-01	8.87E-01
proteinogenic amino acid metabolic process (GO:0170039)	15	+	7.32E-01	8.89E-01
amine metabolic process (GO:0009308)	11	+	7.33E-01	8.89E-01
organophosphate biosynthetic process (GO:0090407)	25	-	7.34E-01	8.90E-01
vesicle budding from membrane (GO:0006900)	5	-	7.37E-01	8.91E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	5	-	7.39E-01	8.93E-01
mRNA export from nucleus (GO:0006406)	1	+	7.41E-01	8.95E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	+	7.41E-01	8.94E-01
inorganic anion transmembrane transport (GO:0098661)	1	+	7.41E-01	8.93E-01
positive regulation of phosphorus metabolic process (GO:0010562)	1	+	7.41E-01	8.92E-01
protein insertion into membrane (GO:0051205)	1	+	7.41E-01	8.91E-01
mitochondrial mRNA modification (GO:0080156)	1	+	7.41E-01	8.90E-01
positive regulation of protein modification process (GO:0031401)	1	+	7.41E-01	8.89E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	1	+	7.41E-01	8.88E-01
miRNA processing (GO:0035196)	1	+	7.41E-01	8.87E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	1	+	7.41E-01	8.86E-01
calcium-mediated signaling (GO:0019722)	1	+	7.41E-01	8.85E-01
pyrimidine nucleobase metabolic process (GO:0006206)	1	+	7.41E-01	8.84E-01
protein K63-linked deubiquitination (GO:0070536)	1	+	7.41E-01	8.83E-01
mRNA transport (GO:0051028)	1	+	7.41E-01	8.82E-01
phosphatidylcholine metabolic process (GO:0046470)	1	+	7.41E-01	8.81E-01
sphingolipid catabolic process (GO:0030149)	1	+	7.41E-01	8.80E-01
glycerol-3-phosphate metabolic process (GO:0006072)	1	+	7.41E-01	8.79E-01
regulation of lipid metabolic process (GO:0019216)	1	+	7.41E-01	8.78E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1	+	7.41E-01	8.77E-01
dicarboxylic acid transport (GO:0006835)	1	+	7.41E-01	8.76E-01
cytochrome complex assembly (GO:0017004)	1	+	7.41E-01	8.75E-01
monoatomic anion transport (GO:0006820)	1	+	7.41E-01	8.74E-01
mitochondrial RNA modification (GO:1900864)	1	+	7.41E-01	8.73E-01
mRNA polyadenylation (GO:0006378)	1	+	7.41E-01	8.72E-01
respiratory chain complex IV assembly (GO:0008535)	1	+	7.41E-01	8.71E-01
primary miRNA processing (GO:0031053)	1	+	7.41E-01	8.70E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	1	+	7.41E-01	8.69E-01
mitochondrial fission (GO:0000266)	1	+	7.41E-01	8.68E-01
mitotic recombination (GO:0006312)	1	+	7.41E-01	8.67E-01
phosphatidylcholine biosynthetic process (GO:0006656)	1	+	7.41E-01	8.66E-01
positive regulation of phosphorylation (GO:0042327)	1	+	7.41E-01	8.65E-01
positive regulation of phosphate metabolic process (GO:0045937)	1	+	7.41E-01	8.65E-01
protein stabilization (GO:0050821)	1	+	7.41E-01	8.64E-01
Rho protein signal transduction (GO:0007266)	1	+	7.41E-01	8.63E-01
small GTPase-mediated signal transduction (GO:0007264)	1	+	7.41E-01	8.62E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	1	+	7.41E-01	8.61E-01
succinate transport (GO:0015744)	1	+	7.41E-01	8.60E-01
C4-dicarboxylate transport (GO:0015740)	1	+	7.41E-01	8.59E-01
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	1	+	7.41E-01	8.58E-01
positive regulation of protein phosphorylation (GO:0001934)	1	+	7.41E-01	8.57E-01
protein metabolic process (GO:0019538)	210	+	7.44E-01	8.59E-01
nucleoside phosphate metabolic process (GO:0006753)	31	+	7.49E-01	8.64E-01
hexose biosynthetic process (GO:0019319)	4	+	7.52E-01	8.67E-01
microtubule cytoskeleton organization (GO:0000226)	12	+	7.55E-01	8.69E-01
small molecule catabolic process (GO:0044282)	19	+	7.56E-01	8.70E-01
establishment of protein localization to membrane (GO:0090150)	9	+	7.63E-01	8.76E-01
sphingolipid metabolic process (GO:0006665)	7	-	7.70E-01	8.83E-01
glycerophospholipid biosynthetic process (GO:0046474)	6	-	7.78E-01	8.92E-01
microtubule-based process (GO:0007017)	14	+	7.78E-01	8.91E-01
regulation of biological process (GO:0050789)	185	+	7.79E-01	8.91E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	15	-	7.79E-01	8.90E-01
negative regulation of biosynthetic process (GO:0009890)	15	-	7.79E-01	8.89E-01
negative regulation of gene expression (GO:0010629)	15	-	7.79E-01	8.88E-01
negative regulation of cellular biosynthetic process (GO:0031327)	15	-	7.79E-01	8.87E-01
spindle assembly (GO:0051225)	3	-	7.80E-01	8.87E-01
pattern specification process (GO:0007389)	3	-	7.80E-01	8.86E-01
anatomical structure morphogenesis (GO:0009653)	3	-	7.80E-01	8.86E-01
protein peptidyl-prolyl isomerization (GO:0000413)	3	-	7.80E-01	8.85E-01
regulation of transcription elongation by RNA polymerase II (GO:0034243)	2	+	7.86E-01	8.90E-01
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	2	+	7.86E-01	8.89E-01
fruit development (GO:0010154)	2	+	7.86E-01	8.88E-01
regionalization (GO:0003002)	2	+	7.86E-01	8.87E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	13	-	7.90E-01	8.91E-01
positive regulation of biosynthetic process (GO:0009891)	13	-	7.90E-01	8.90E-01
positive regulation of DNA-templated transcription (GO:0045893)	13	-	7.90E-01	8.89E-01
positive regulation of cellular biosynthetic process (GO:0031328)	13	-	7.90E-01	8.88E-01
positive regulation of RNA biosynthetic process (GO:1902680)	13	-	7.90E-01	8.87E-01
monoatomic cation transmembrane transport (GO:0098655)	12	+	7.98E-01	8.95E-01
monoatomic ion transmembrane transport (GO:0034220)	12	+	7.98E-01	8.95E-01
export from cell (GO:0140352)	10	-	8.00E-01	8.96E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	6	+	8.02E-01	8.97E-01
sterol metabolic process (GO:0016125)	5	+	8.03E-01	8.97E-01
monocarboxylic acid catabolic process (GO:0072329)	6	-	8.08E-01	9.02E-01
organic hydroxy compound biosynthetic process (GO:1901617)	8	+	8.10E-01	9.03E-01
cellular nitrogen compound catabolic process (GO:0044270)	21	+	8.13E-01	9.05E-01
heterocycle catabolic process (GO:0046700)	21	+	8.13E-01	9.04E-01
spindle organization (GO:0007051)	5	-	8.19E-01	9.10E-01
alcohol metabolic process (GO:0006066)	8	-	8.26E-01	9.17E-01
membrane lipid metabolic process (GO:0006643)	9	+	8.27E-01	9.17E-01
external encapsulating structure organization (GO:0045229)	3	-	8.28E-01	9.17E-01
xylan biosynthetic process (GO:0045492)	8	-	8.29E-01	9.17E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	5	+	8.40E-01	9.28E-01
alpha-amino acid metabolic process (GO:1901605)	27	-	8.41E-01	9.28E-01
protein modification by small protein removal (GO:0070646)	15	+	8.47E-01	9.34E-01
cell cycle (GO:0007049)	16	+	8.54E-01	9.42E-01
intracellular calcium ion homeostasis (GO:0006874)	4	+	8.59E-01	9.45E-01
calcium ion homeostasis (GO:0055074)	4	+	8.59E-01	9.44E-01
nucleosome assembly (GO:0006334)	3	-	8.61E-01	9.45E-01
organophosphate ester transport (GO:0015748)	3	-	8.61E-01	9.44E-01
nucleosome organization (GO:0034728)	3	-	8.61E-01	9.43E-01
organelle fission (GO:0048285)	3	+	8.62E-01	9.44E-01
cortical cytoskeleton organization (GO:0030865)	3	+	8.62E-01	9.43E-01
cytoplasmic microtubule organization (GO:0031122)	3	+	8.62E-01	9.42E-01
nucleobase-containing compound catabolic process (GO:0034655)	20	+	8.65E-01	9.45E-01
proteinogenic amino acid biosynthetic process (GO:0170038)	12	-	8.66E-01	9.45E-01
L-amino acid biosynthetic process (GO:0170034)	12	-	8.66E-01	9.44E-01
folic acid-containing compound metabolic process (GO:0006760)	2	+	8.69E-01	9.46E-01
polyamine catabolic process (GO:0006598)	2	+	8.69E-01	9.45E-01
NLS-bearing protein import into nucleus (GO:0006607)	2	+	8.69E-01	9.44E-01
isoprenoid catabolic process (GO:0008300)	2	+	8.69E-01	9.43E-01
plant organ development (GO:0099402)	2	+	8.69E-01	9.42E-01
endoplasmic reticulum organization (GO:0007029)	5	+	8.74E-01	9.46E-01
cell surface receptor signaling pathway (GO:0007166)	4	+	8.75E-01	9.46E-01
phospholipid biosynthetic process (GO:0008654)	7	+	8.77E-01	9.48E-01
ribonucleotide biosynthetic process (GO:0009260)	10	-	8.81E-01	9.52E-01
transition metal ion transport (GO:0000041)	3	-	8.84E-01	9.53E-01
nitrogen compound transport (GO:0071705)	54	+	8.88E-01	9.57E-01
protein maturation (GO:0051604)	22	+	8.91E-01	9.59E-01
fatty acid metabolic process (GO:0006631)	11	+	8.92E-01	9.59E-01
biogenic amine metabolic process (GO:0006576)	8	-	8.98E-01	9.65E-01
glucose 6-phosphate metabolic process (GO:0051156)	6	+	8.99E-01	9.65E-01
fatty acid catabolic process (GO:0009062)	5	+	9.03E-01	9.67E-01
fatty acid beta-oxidation (GO:0006635)	5	+	9.03E-01	9.66E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	3	-	9.04E-01	9.67E-01
pyrimidine nucleotide metabolic process (GO:0006220)	3	-	9.04E-01	9.67E-01
DNA-templated transcription elongation (GO:0006354)	3	-	9.04E-01	9.66E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	3	-	9.04E-01	9.65E-01
nuclear export (GO:0051168)	3	-	9.04E-01	9.64E-01
mRNA 3'-end processing (GO:0031124)	3	-	9.04E-01	9.63E-01
small molecule metabolic process (GO:0044281)	103	-	9.06E-01	9.63E-01
regulation of pH (GO:0006885)	5	-	9.14E-01	9.70E-01
sphingolipid biosynthetic process (GO:0030148)	5	-	9.16E-01	9.72E-01
ceramide metabolic process (GO:0006672)	5	-	9.16E-01	9.71E-01
reproductive process (GO:0022414)	7	-	9.16E-01	9.70E-01
reproduction (GO:0000003)	7	-	9.16E-01	9.69E-01
cytoplasmic translation (GO:0002181)	10	+	9.17E-01	9.69E-01
mRNA catabolic process (GO:0006402)	7	-	9.23E-01	9.75E-01
negative regulation of gene expression, epigenetic (GO:0045814)	3	-	9.28E-01	9.79E-01
glycerophospholipid metabolic process (GO:0006650)	13	-	9.31E-01	9.81E-01
positive regulation of protein metabolic process (GO:0051247)	5	+	9.37E-01	9.86E-01
regulation of protein catabolic process (GO:0042176)	4	-	9.39E-01	9.87E-01
positive regulation of protein catabolic process (GO:0045732)	4	-	9.39E-01	9.86E-01
aromatic amino acid family biosynthetic process (GO:0009073)	6	+	9.42E-01	9.89E-01
chromatin remodeling (GO:0006338)	11	+	9.46E-01	9.91E-01
chromatin organization (GO:0006325)	11	+	9.46E-01	9.90E-01
regulation of mitotic cell cycle (GO:0007346)	7	-	9.47E-01	9.91E-01
carbohydrate derivative metabolic process (GO:1901135)	39	+	9.48E-01	9.91E-01
pyrimidine-containing compound metabolic process (GO:0072527)	4	+	9.51E-01	9.94E-01
biological_process (GO:0008150)	939	+	9.53E-01	9.94E-01
steroid biosynthetic process (GO:0006694)	3	-	9.53E-01	9.93E-01
protein depolymerization (GO:0051261)	4	+	9.54E-01	9.93E-01
purine-containing compound metabolic process (GO:0072521)	28	+	9.56E-01	9.95E-01
catabolic process (GO:0009056)	119	+	9.56E-01	9.94E-01
intracellular signaling cassette (GO:0141124)	7	-	9.61E-01	9.97E-01
homeostatic process (GO:0042592)	29	+	9.61E-01	9.97E-01
response to abiotic stimulus (GO:0009628)	13	+	9.64E-01	9.99E-01
ribose phosphate biosynthetic process (GO:0046390)	11	-	9.66E-01	1.00E00
MAPK cascade (GO:0000165)	4	+	9.69E-01	1.00E00
lipid localization (GO:0010876)	7	-	9.70E-01	1.00E00
lipid transport (GO:0006869)	7	-	9.70E-01	1.00E00
Unclassified (UNCLASSIFIED)	2008	-	9.71E-01	1.00E00
alcohol biosynthetic process (GO:0046165)	4	-	9.78E-01	1.00E00
Golgi organization (GO:0007030)	4	-	9.81E-01	1.00E00
protein localization to chloroplast (GO:0072598)	4	-	9.81E-01	1.00E00
localization within membrane (GO:0051668)	13	-	9.84E-01	1.00E00
positive regulation of cell cycle process (GO:0090068)	2	-	9.84E-01	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	2	-	9.84E-01	1.00E00
protein palmitoylation (GO:0018345)	2	-	9.84E-01	1.00E00
regulation of response to stress (GO:0080134)	2	-	9.84E-01	1.00E00
protein sumoylation (GO:0016925)	2	-	9.84E-01	1.00E00
regulation of cellular pH (GO:0030641)	2	-	9.84E-01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	2	-	9.84E-01	1.00E00
detoxification (GO:0098754)	2	-	9.84E-01	1.00E00
meiotic nuclear division (GO:0140013)	2	-	9.84E-01	1.00E00
response to toxic substance (GO:0009636)	2	-	9.84E-01	1.00E00
positive regulation of organelle organization (GO:0010638)	2	-	9.84E-01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	2	-	9.84E-01	9.99E-01
nuclear division (GO:0000280)	2	-	9.84E-01	9.98E-01
positive regulation of cellular component organization (GO:0051130)	2	-	9.84E-01	9.97E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2	-	9.84E-01	9.96E-01
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	2	-	9.84E-01	9.95E-01
regulation of intracellular pH (GO:0051453)	2	-	9.84E-01	9.94E-01
regulation of nuclear division (GO:0051783)	2	-	9.84E-01	9.93E-01
positive regulation of cell cycle (GO:0045787)	2	-	9.84E-01	9.93E-01
meiosis I cell cycle process (GO:0061982)	2	-	9.84E-01	9.92E-01
secondary alcohol metabolic process (GO:1902652)	2	-	9.84E-01	9.91E-01
protein acylation (GO:0043543)	2	-	9.84E-01	9.90E-01
translational termination (GO:0006415)	2	-	9.84E-01	9.89E-01
mitotic spindle organization (GO:0007052)	2	-	9.84E-01	9.88E-01
endomembrane system organization (GO:0010256)	12	+	9.87E-01	9.90E-01
regulation of protein metabolic process (GO:0051246)	8	+	9.94E-01	9.96E-01
cell cycle process (GO:0022402)	14	+	9.99E-01	1.00E00
organic substance transport (GO:0071702)	61	+	9.99E-01	9.99E-01
