Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
mitotic sister chromatid segregation (GO:0000070)	1	-	5.36E-01	7.65E-01
developmental growth (GO:0048589)	1	-	5.36E-01	7.64E-01
positive regulation of response to stimulus (GO:0048584)	1	-	5.36E-01	7.63E-01
protein N-linked glycosylation (GO:0006487)	1	-	5.36E-01	7.62E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	1	-	5.36E-01	7.61E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	-	5.36E-01	7.60E-01
developmental growth involved in morphogenesis (GO:0060560)	1	-	5.36E-01	7.59E-01
ribosomal subunit export from nucleus (GO:0000054)	1	-	5.36E-01	7.58E-01
energy reserve metabolic process (GO:0006112)	1	-	5.36E-01	7.57E-01
vesicle targeting (GO:0006903)	1	-	5.36E-01	7.56E-01
negative regulation of RNA biosynthetic process (GO:1902679)	1	-	5.36E-01	7.55E-01
meiotic DNA double-strand break formation (GO:0042138)	1	-	5.36E-01	7.54E-01
nuclear chromosome segregation (GO:0098813)	1	-	5.36E-01	7.53E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	1	-	5.36E-01	7.52E-01
mRNA cis splicing, via spliceosome (GO:0045292)	1	-	5.36E-01	7.51E-01
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	1	-	5.36E-01	7.50E-01
mitotic cell cycle checkpoint signaling (GO:0007093)	1	-	5.36E-01	7.49E-01
sister chromatid segregation (GO:0000819)	1	-	5.36E-01	7.48E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	1	-	5.36E-01	7.47E-01
regulation of mitotic nuclear division (GO:0007088)	1	-	5.36E-01	7.46E-01
homologous recombination (GO:0035825)	1	-	5.36E-01	7.45E-01
mitotic metaphase chromosome alignment (GO:0007080)	1	-	5.36E-01	7.44E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	1	-	5.36E-01	7.43E-01
cAMP-mediated signaling (GO:0019933)	1	-	5.36E-01	7.42E-01
mitochondrial genome maintenance (GO:0000002)	1	-	5.36E-01	7.41E-01
telomere organization (GO:0032200)	1	-	5.36E-01	7.40E-01
piecemeal microautophagy of the nucleus (GO:0034727)	1	-	5.36E-01	7.39E-01
rhythmic process (GO:0048511)	1	-	5.36E-01	7.38E-01
cell motility (GO:0048870)	1	-	5.36E-01	7.37E-01
negative regulation of RNA metabolic process (GO:0051253)	1	-	5.36E-01	7.36E-01
pigment metabolic process (GO:0042440)	1	-	5.36E-01	7.35E-01
negative regulation of catalytic activity (GO:0043086)	1	-	5.36E-01	7.34E-01
cellular component disassembly (GO:0022411)	11	+	5.37E-01	7.34E-01
terpenoid biosynthetic process (GO:0016114)	7	+	5.39E-01	7.36E-01
homeostatic process (GO:0042592)	27	-	5.40E-01	7.36E-01
positive regulation of catabolic process (GO:0009896)	10	-	5.47E-01	7.45E-01
regulation of catabolic process (GO:0009894)	10	-	5.47E-01	7.44E-01
monoatomic ion transport (GO:0006811)	25	+	5.55E-01	7.53E-01
chaperone-mediated protein folding (GO:0061077)	4	+	5.61E-01	7.61E-01
cellular macromolecule localization (GO:0070727)	50	+	5.64E-01	7.63E-01
protein localization (GO:0008104)	50	+	5.64E-01	7.62E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	3	+	5.65E-01	7.63E-01
liposaccharide metabolic process (GO:1903509)	3	+	5.65E-01	7.62E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	3	+	5.65E-01	7.61E-01
glycolipid metabolic process (GO:0006664)	3	+	5.65E-01	7.60E-01
glycolipid biosynthetic process (GO:0009247)	3	+	5.65E-01	7.59E-01
amino acid biosynthetic process (GO:0008652)	16	-	5.65E-01	7.58E-01
endomembrane system organization (GO:0010256)	10	+	5.66E-01	7.59E-01
folic acid-containing compound metabolic process (GO:0006760)	2	+	5.67E-01	7.59E-01
flower development (GO:0009908)	2	+	5.67E-01	7.58E-01
reproductive shoot system development (GO:0090567)	2	+	5.67E-01	7.57E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	7	-	5.77E-01	7.69E-01
protein palmitoylation (GO:0018345)	5	-	5.82E-01	7.75E-01
protein acylation (GO:0043543)	5	-	5.82E-01	7.74E-01
spindle organization (GO:0007051)	5	-	5.82E-01	7.73E-01
glucose 6-phosphate metabolic process (GO:0051156)	5	+	5.89E-01	7.81E-01
cellular localization (GO:0051641)	71	-	5.91E-01	7.82E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	5	+	5.96E-01	7.88E-01
organic substance metabolic process (GO:0071704)	502	+	5.99E-01	7.92E-01
intracellular protein transmembrane transport (GO:0065002)	4	-	6.00E-01	7.92E-01
branched-chain amino acid metabolic process (GO:0009081)	4	-	6.00E-01	7.91E-01
electron transport chain (GO:0022900)	4	-	6.00E-01	7.90E-01
response to extracellular stimulus (GO:0009991)	4	-	6.00E-01	7.89E-01
DNA-templated transcription elongation (GO:0006354)	4	-	6.00E-01	7.88E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	4	-	6.00E-01	7.87E-01
regulation of DNA-templated transcription elongation (GO:0032784)	4	-	6.00E-01	7.86E-01
response to nutrient levels (GO:0031667)	4	-	6.00E-01	7.85E-01
regulation of protein catabolic process (GO:0042176)	4	-	6.00E-01	7.84E-01
positive regulation of protein catabolic process (GO:0045732)	4	-	6.00E-01	7.83E-01
steroid metabolic process (GO:0008202)	8	-	6.02E-01	7.85E-01
amino acid transport (GO:0006865)	10	+	6.03E-01	7.85E-01
nucleobase-containing compound catabolic process (GO:0034655)	18	+	6.11E-01	7.95E-01
protein-DNA complex organization (GO:0071824)	10	+	6.22E-01	8.07E-01
protein-containing complex organization (GO:0043933)	40	-	6.22E-01	8.07E-01
proteinogenic amino acid biosynthetic process (GO:0170038)	12	-	6.25E-01	8.10E-01
L-amino acid biosynthetic process (GO:0170034)	12	-	6.25E-01	8.09E-01
supramolecular fiber organization (GO:0097435)	10	+	6.29E-01	8.12E-01
carbohydrate derivative metabolic process (GO:1901135)	35	+	6.29E-01	8.12E-01
nitrogen compound metabolic process (GO:0006807)	401	-	6.31E-01	8.13E-01
peptide metabolic process (GO:0006518)	42	-	6.39E-01	8.22E-01
steroid biosynthetic process (GO:0006694)	5	-	6.40E-01	8.23E-01
acyl-CoA metabolic process (GO:0006637)	5	-	6.40E-01	8.22E-01
regulation of molecular function (GO:0065009)	10	-	6.42E-01	8.23E-01
small molecule biosynthetic process (GO:0044283)	44	-	6.53E-01	8.36E-01
system development (GO:0048731)	5	+	6.54E-01	8.37E-01
Golgi organization (GO:0007030)	2	+	6.59E-01	8.42E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	2	+	6.59E-01	8.41E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	2	+	6.59E-01	8.40E-01
hormone transport (GO:0009914)	2	+	6.59E-01	8.39E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2	+	6.59E-01	8.38E-01
regulation of protein stability (GO:0031647)	2	+	6.59E-01	8.37E-01
secondary alcohol metabolic process (GO:1902652)	2	+	6.59E-01	8.36E-01
translational termination (GO:0006415)	2	+	6.59E-01	8.35E-01
mitotic spindle organization (GO:0007052)	2	+	6.59E-01	8.34E-01
energy derivation by oxidation of organic compounds (GO:0015980)	9	-	6.68E-01	8.44E-01
ribose phosphate biosynthetic process (GO:0046390)	9	-	6.68E-01	8.43E-01
protein folding (GO:0006457)	17	+	6.70E-01	8.45E-01
protein-DNA complex assembly (GO:0065004)	5	-	6.73E-01	8.47E-01
process utilizing autophagic mechanism (GO:0061919)	8	+	6.74E-01	8.47E-01
cytoplasmic translation (GO:0002181)	8	+	6.74E-01	8.46E-01
autophagy (GO:0006914)	8	+	6.74E-01	8.45E-01
response to endoplasmic reticulum stress (GO:0034976)	6	+	6.82E-01	8.55E-01
sphingolipid metabolic process (GO:0006665)	6	+	6.82E-01	8.54E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	4	+	6.84E-01	8.55E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	32	+	6.85E-01	8.54E-01
aromatic compound catabolic process (GO:0019439)	23	+	6.90E-01	8.60E-01
organic cyclic compound catabolic process (GO:1901361)	23	+	6.90E-01	8.59E-01
protein localization to membrane (GO:0072657)	14	+	6.91E-01	8.59E-01
lipid localization (GO:0010876)	7	-	6.94E-01	8.62E-01
glycerolipid biosynthetic process (GO:0045017)	7	-	6.94E-01	8.61E-01
lipid transport (GO:0006869)	7	-	6.94E-01	8.60E-01
lipid oxidation (GO:0034440)	7	-	6.94E-01	8.59E-01
cellular response to stress (GO:0033554)	31	-	6.94E-01	8.58E-01
amide metabolic process (GO:0043603)	55	-	6.97E-01	8.60E-01
lipid modification (GO:0030258)	15	+	7.01E-01	8.64E-01
phosphatidylinositol dephosphorylation (GO:0046856)	7	+	7.04E-01	8.67E-01
amino acid metabolic process (GO:0006520)	43	-	7.09E-01	8.72E-01
fatty acid metabolic process (GO:0006631)	11	-	7.13E-01	8.76E-01
NADP metabolic process (GO:0006739)	5	+	7.15E-01	8.78E-01
diterpenoid biosynthetic process (GO:0016102)	5	+	7.15E-01	8.77E-01
response to external stimulus (GO:0009605)	30	+	7.20E-01	8.81E-01
cellular nitrogen compound catabolic process (GO:0044270)	19	+	7.24E-01	8.85E-01
heterocycle catabolic process (GO:0046700)	19	+	7.24E-01	8.84E-01
vacuole organization (GO:0007033)	6	-	7.26E-01	8.86E-01
endosomal transport (GO:0016197)	6	-	7.26E-01	8.85E-01
RNA destabilization (GO:0050779)	6	-	7.26E-01	8.84E-01
autophagy of mitochondrion (GO:0000422)	6	-	7.26E-01	8.83E-01
positive regulation of mRNA metabolic process (GO:1903313)	6	-	7.26E-01	8.82E-01
regulation of mRNA stability (GO:0043488)	6	-	7.26E-01	8.81E-01
regulation of RNA stability (GO:0043487)	6	-	7.26E-01	8.80E-01
positive regulation of mRNA catabolic process (GO:0061014)	6	-	7.26E-01	8.79E-01
regulation of mRNA catabolic process (GO:0061013)	6	-	7.26E-01	8.78E-01
positive regulation of cellular catabolic process (GO:0031331)	6	-	7.26E-01	8.77E-01
regulation of cellular catabolic process (GO:0031329)	6	-	7.26E-01	8.76E-01
autophagosome assembly (GO:0000045)	6	-	7.26E-01	8.75E-01
mRNA destabilization (GO:0061157)	6	-	7.26E-01	8.74E-01
proteinogenic amino acid metabolic process (GO:0170039)	15	+	7.28E-01	8.75E-01
intracellular monoatomic cation homeostasis (GO:0030003)	10	-	7.34E-01	8.80E-01
intracellular monoatomic ion homeostasis (GO:0006873)	10	-	7.34E-01	8.79E-01
biological regulation (GO:0065007)	200	+	7.36E-01	8.81E-01
regulation of developmental process (GO:0050793)	5	-	7.36E-01	8.81E-01
macromolecule catabolic process (GO:0009057)	69	-	7.43E-01	8.88E-01
phosphatidylinositol metabolic process (GO:0046488)	10	+	7.50E-01	8.94E-01
regulation of cellular process (GO:0050794)	168	+	7.57E-01	9.02E-01
regulation of mitotic cell cycle (GO:0007346)	7	+	7.57E-01	9.01E-01
monocarboxylic acid biosynthetic process (GO:0072330)	7	+	7.57E-01	9.00E-01
organic acid transmembrane transport (GO:1903825)	11	-	7.59E-01	9.01E-01
carboxylic acid transmembrane transport (GO:1905039)	11	-	7.59E-01	9.00E-01
alcohol biosynthetic process (GO:0046165)	4	-	7.59E-01	8.99E-01
protein processing (GO:0016485)	4	-	7.59E-01	8.98E-01
protein localization to nucleus (GO:0034504)	4	-	7.59E-01	8.97E-01
import into nucleus (GO:0051170)	4	-	7.59E-01	8.96E-01
protein import into nucleus (GO:0006606)	4	-	7.59E-01	8.95E-01
carbohydrate derivative transport (GO:1901264)	4	-	7.59E-01	8.94E-01
amino acid transmembrane transport (GO:0003333)	8	+	7.67E-01	9.03E-01
organophosphate biosynthetic process (GO:0090407)	21	+	7.71E-01	9.06E-01
organic hydroxy compound metabolic process (GO:1901615)	19	-	7.72E-01	9.06E-01
alpha-amino acid metabolic process (GO:1901605)	26	+	7.74E-01	9.08E-01
regulation of catalytic activity (GO:0050790)	9	-	7.76E-01	9.10E-01
proteolysis (GO:0006508)	63	-	7.77E-01	9.10E-01
organic acid transport (GO:0015849)	14	+	7.83E-01	9.15E-01
carboxylic acid transport (GO:0046942)	14	+	7.83E-01	9.14E-01
Golgi vesicle transport (GO:0048193)	20	-	7.84E-01	9.14E-01
protein targeting (GO:0006605)	15	-	7.99E-01	9.30E-01
cellular lipid catabolic process (GO:0044242)	12	+	8.03E-01	9.34E-01
lipid catabolic process (GO:0016042)	12	+	8.03E-01	9.33E-01
protein catabolic process (GO:0030163)	54	-	8.03E-01	9.32E-01
proteolysis involved in protein catabolic process (GO:0051603)	54	-	8.03E-01	9.31E-01
peroxisome organization (GO:0007031)	3	-	8.04E-01	9.32E-01
regulation of transcription elongation by RNA polymerase II (GO:0034243)	3	-	8.04E-01	9.31E-01
phytosteroid metabolic process (GO:0016128)	3	-	8.04E-01	9.30E-01
respiratory electron transport chain (GO:0022904)	3	-	8.04E-01	9.29E-01
response to starvation (GO:0042594)	3	-	8.04E-01	9.27E-01
protein targeting to ER (GO:0045047)	3	-	8.04E-01	9.26E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	3	-	8.04E-01	9.25E-01
cellular response to external stimulus (GO:0071496)	3	-	8.04E-01	9.24E-01
late endosome to vacuole transport (GO:0045324)	3	-	8.04E-01	9.23E-01
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	3	-	8.04E-01	9.22E-01
cell fate commitment (GO:0045165)	3	-	8.04E-01	9.21E-01
regulation of cellular component organization (GO:0051128)	3	-	8.04E-01	9.20E-01
RNA decapping (GO:0110154)	3	-	8.04E-01	9.19E-01
organelle fission (GO:0048285)	3	-	8.04E-01	9.18E-01
regulation of organelle organization (GO:0033043)	3	-	8.04E-01	9.17E-01
cellular response to nutrient levels (GO:0031669)	3	-	8.04E-01	9.16E-01
cellular response to extracellular stimulus (GO:0031668)	3	-	8.04E-01	9.15E-01
aerobic electron transport chain (GO:0019646)	3	-	8.04E-01	9.14E-01
cortical cytoskeleton organization (GO:0030865)	3	-	8.04E-01	9.13E-01
cellular response to starvation (GO:0009267)	3	-	8.04E-01	9.12E-01
RNA 3'-end processing (GO:0031123)	3	-	8.04E-01	9.11E-01
cytoplasmic microtubule organization (GO:0031122)	3	-	8.04E-01	9.10E-01
organic acid catabolic process (GO:0016054)	14	-	8.09E-01	9.14E-01
carboxylic acid catabolic process (GO:0046395)	14	-	8.09E-01	9.13E-01
macromolecule localization (GO:0033036)	59	+	8.13E-01	9.17E-01
aerobic respiration (GO:0009060)	8	-	8.13E-01	9.16E-01
cellular respiration (GO:0045333)	8	-	8.13E-01	9.15E-01
endoplasmic reticulum organization (GO:0007029)	6	+	8.17E-01	9.18E-01
organic substance transport (GO:0071702)	64	-	8.17E-01	9.17E-01
proton transmembrane transport (GO:1902600)	3	+	8.18E-01	9.17E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	11	+	8.18E-01	9.17E-01
regulation of protein metabolic process (GO:0051246)	11	+	8.18E-01	9.16E-01
response to temperature stimulus (GO:0009266)	5	+	8.29E-01	9.27E-01
gibberellin metabolic process (GO:0009685)	4	-	8.31E-01	9.28E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	8	+	8.46E-01	9.44E-01
aromatic amino acid family catabolic process (GO:0009074)	4	+	8.50E-01	9.47E-01
protein localization to endoplasmic reticulum (GO:0070972)	4	+	8.50E-01	9.46E-01
hexose biosynthetic process (GO:0019319)	4	+	8.50E-01	9.45E-01
oxidative phosphorylation (GO:0006119)	4	+	8.50E-01	9.44E-01
translational elongation (GO:0006414)	4	+	8.50E-01	9.43E-01
intracellular chemical homeostasis (GO:0055082)	13	-	8.51E-01	9.43E-01
regulation of biological process (GO:0050789)	179	+	8.55E-01	9.47E-01
isoprenoid metabolic process (GO:0006720)	13	-	8.55E-01	9.46E-01
negative regulation of cellular process (GO:0048523)	21	-	8.57E-01	9.47E-01
negative regulation of biological process (GO:0048519)	21	-	8.57E-01	9.46E-01
regulation of cell cycle process (GO:0010564)	6	-	8.63E-01	9.51E-01
calcium ion transmembrane transport (GO:0070588)	6	-	8.63E-01	9.50E-01
calcium ion transport (GO:0006816)	6	-	8.63E-01	9.49E-01
transition metal ion transport (GO:0000041)	6	-	8.63E-01	9.48E-01
glycerolipid metabolic process (GO:0046486)	15	-	8.66E-01	9.51E-01
Golgi to vacuole transport (GO:0006896)	3	+	8.66E-01	9.50E-01
response to osmotic stress (GO:0006970)	3	+	8.66E-01	9.49E-01
intracellular protein transport (GO:0006886)	27	+	8.66E-01	9.48E-01
xylan biosynthetic process (GO:0045492)	4	-	8.70E-01	9.52E-01
response to heat (GO:0009408)	4	-	8.70E-01	9.51E-01
glycerophospholipid metabolic process (GO:0006650)	13	+	8.72E-01	9.51E-01
response to nitrogen compound (GO:1901698)	7	+	8.85E-01	9.64E-01
organelle disassembly (GO:1903008)	7	+	8.85E-01	9.63E-01
macroautophagy (GO:0016236)	7	+	8.85E-01	9.62E-01
developmental process (GO:0032502)	17	+	8.86E-01	9.63E-01
monocarboxylic acid metabolic process (GO:0032787)	30	+	8.91E-01	9.67E-01
maintenance of location (GO:0051235)	2	+	8.93E-01	9.68E-01
ATP biosynthetic process (GO:0006754)	2	+	8.93E-01	9.67E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	2	+	8.93E-01	9.66E-01
potassium ion transmembrane transport (GO:0071805)	2	+	8.93E-01	9.65E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	2	+	8.93E-01	9.64E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	2	+	8.93E-01	9.63E-01
lysine biosynthetic process (GO:0009085)	2	+	8.93E-01	9.62E-01
cell fate specification (GO:0001708)	2	+	8.93E-01	9.61E-01
protein sumoylation (GO:0016925)	2	+	8.93E-01	9.60E-01
polyamine catabolic process (GO:0006598)	2	+	8.93E-01	9.59E-01
multivesicular body sorting pathway (GO:0071985)	2	+	8.93E-01	9.58E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	2	+	8.93E-01	9.57E-01
negative regulation of cell cycle phase transition (GO:1901988)	2	+	8.93E-01	9.56E-01
amino sugar metabolic process (GO:0006040)	2	+	8.93E-01	9.55E-01
iron ion transport (GO:0006826)	2	+	8.93E-01	9.54E-01
proton motive force-driven ATP synthesis (GO:0015986)	2	+	8.93E-01	9.53E-01
maintenance of location in cell (GO:0051651)	2	+	8.93E-01	9.52E-01
endoplasmic reticulum tubular network organization (GO:0071786)	2	+	8.93E-01	9.51E-01
transcription elongation by RNA polymerase II (GO:0006368)	2	+	8.93E-01	9.50E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	+	8.93E-01	9.49E-01
negative regulation of cell cycle process (GO:0010948)	2	+	8.93E-01	9.49E-01
phospholipid transport (GO:0015914)	2	+	8.93E-01	9.48E-01
nucleobase metabolic process (GO:0009112)	2	+	8.93E-01	9.47E-01
negative regulation of mitotic cell cycle (GO:0045930)	2	+	8.93E-01	9.46E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2	+	8.93E-01	9.45E-01
cotranslational protein targeting to membrane (GO:0006613)	2	+	8.93E-01	9.44E-01
response to cold (GO:0009409)	2	+	8.93E-01	9.43E-01
negative regulation of cell cycle (GO:0045786)	2	+	8.93E-01	9.42E-01
isoprenoid catabolic process (GO:0008300)	2	+	8.93E-01	9.41E-01
iron ion transmembrane transport (GO:0034755)	2	+	8.93E-01	9.40E-01
mRNA 3'-end processing (GO:0031124)	2	+	8.93E-01	9.39E-01
protein peptidyl-prolyl isomerization (GO:0000413)	4	-	8.95E-01	9.40E-01
organic hydroxy compound biosynthetic process (GO:1901617)	10	-	8.95E-01	9.39E-01
monoatomic cation homeostasis (GO:0055080)	12	-	8.96E-01	9.39E-01
terpenoid metabolic process (GO:0006721)	9	+	8.97E-01	9.39E-01
isoprenoid biosynthetic process (GO:0008299)	9	+	8.97E-01	9.38E-01
primary metabolic process (GO:0044238)	469	+	8.98E-01	9.38E-01
establishment of protein localization (GO:0045184)	41	-	9.00E-01	9.39E-01
protein deubiquitination (GO:0016579)	10	+	9.02E-01	9.40E-01
small molecule metabolic process (GO:0044281)	102	+	9.03E-01	9.40E-01
protein maturation (GO:0051604)	22	+	9.11E-01	9.47E-01
chemical homeostasis (GO:0048878)	21	+	9.11E-01	9.47E-01
reproductive system development (GO:0061458)	3	+	9.12E-01	9.47E-01
sterol biosynthetic process (GO:0016126)	3	+	9.12E-01	9.46E-01
reproductive structure development (GO:0048608)	3	+	9.12E-01	9.45E-01
post-embryonic development (GO:0009791)	3	+	9.12E-01	9.44E-01
developmental process involved in reproduction (GO:0003006)	3	+	9.12E-01	9.43E-01
MAPK cascade (GO:0000165)	5	-	9.15E-01	9.45E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	5	-	9.15E-01	9.44E-01
positive regulation of protein metabolic process (GO:0051247)	5	-	9.15E-01	9.43E-01
monoatomic ion homeostasis (GO:0050801)	13	+	9.22E-01	9.50E-01
vesicle budding from membrane (GO:0006900)	6	-	9.23E-01	9.49E-01
regulatory ncRNA-mediated gene silencing (GO:0031047)	4	-	9.23E-01	9.49E-01
monoatomic cation transmembrane transport (GO:0098655)	16	+	9.29E-01	9.54E-01
monoatomic ion transmembrane transport (GO:0034220)	16	+	9.29E-01	9.53E-01
localization within membrane (GO:0051668)	17	-	9.29E-01	9.53E-01
glycerophospholipid biosynthetic process (GO:0046474)	5	+	9.31E-01	9.53E-01
regulation of cell cycle phase transition (GO:1901987)	5	+	9.31E-01	9.52E-01
organophosphate ester transport (GO:0015748)	5	+	9.31E-01	9.51E-01
protein targeting to membrane (GO:0006612)	8	-	9.34E-01	9.53E-01
organic acid metabolic process (GO:0006082)	67	-	9.36E-01	9.54E-01
oxoacid metabolic process (GO:0043436)	67	-	9.36E-01	9.53E-01
diterpenoid metabolic process (GO:0016101)	6	+	9.36E-01	9.53E-01
biogenic amine metabolic process (GO:0006576)	8	+	9.44E-01	9.59E-01
alcohol metabolic process (GO:0006066)	8	+	9.44E-01	9.59E-01
vesicle-mediated transport (GO:0016192)	49	-	9.44E-01	9.58E-01
protein modification by small protein removal (GO:0070646)	11	-	9.45E-01	9.58E-01
protein transport (GO:0015031)	35	-	9.48E-01	9.60E-01
small molecule catabolic process (GO:0044282)	19	+	9.49E-01	9.60E-01
vacuolar transport (GO:0007034)	6	-	9.55E-01	9.66E-01
nitrogen compound transport (GO:0071705)	53	-	9.56E-01	9.66E-01
organic anion transport (GO:0015711)	16	-	9.60E-01	9.68E-01
regulation of mRNA metabolic process (GO:1903311)	8	+	9.68E-01	9.75E-01
intracellular signaling cassette (GO:0141124)	7	-	9.85E-01	9.92E-01
methylation (GO:0032259)	11	-	9.90E-01	9.96E-01
carboxylic acid metabolic process (GO:0019752)	66	-	9.95E-01	1.00E00
actin filament bundle assembly (GO:0051017)	3	+	9.98E-01	1.00E00
actin filament bundle organization (GO:0061572)	3	+	9.98E-01	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	3	+	9.98E-01	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	3	+	9.98E-01	9.99E-01
monocarboxylic acid transport (GO:0015718)	3	+	9.98E-01	9.98E-01
