pair	dS	dN	t	kappa	omega	dN_SE	dS_SE
OB05G34920.1_OB11G11920.1	4.1585	0.2264	2.8666	1.3573	0.0544	0.0160	6.9534
OB05G34920.1_OB11G13670.1	1.3085	0.3103	1.5992	1.3652	0.2372	0.0202	0.1952
OB05G34920.1_OB12G12230.1	4.1613	0.2228	2.8675	1.3360	0.0536	0.0159	6.9663
OB05G34920.1_OB12G14200.1	1.7376	0.3115	1.8740	1.2655	0.1792	0.0202	0.4789
OB05G34920.1_OB12G16160.1	1.8361	0.3857	2.1383	1.5976	0.2101	0.0259	0.3341
OB05G34920.1_OB12G20320.1	4.1453	0.2953	2.9947	1.2038	0.0712	0.0190	6.8929
OB05G35170.1_OB01G14670.1	1.4964	0.2365	1.7301	1.6879	0.1581	0.0234	0.2448
OB05G35170.1_OB01G31990.1	0.7777	0.1015	0.8665	2.2947	0.1305	0.0144	0.1220
OB05G35170.1_OB04G12210.1	0.3163	0.0522	0.3906	4.0895	0.1650	0.0102	0.0480
OB05G35230.1_OB01G31550.1	3.1520	0.2057	1.4414	1.6593	0.0653	0.0199	3.5922
OB05G35260.1_OB07G22120.1	3.7657	0.3500	2.3219	1.5554	0.0929	0.0219	5.3653
OB05G35260.1_OB07G22130.1	3.7060	0.3175	2.2698	2.7457	0.0857	0.0219	5.1586
OB05G35270.1_OB05G35260.1	1.4416	0.2407	1.4328	1.9032	0.1670	0.0168	0.2999
OB05G35270.1_OB07G22120.1	4.0161	0.3588	2.9596	1.8386	0.0893	0.0229	6.3288
OB05G35270.1_OB07G22130.1	3.9308	0.3191	2.8628	1.8512	0.0812	0.0226	5.9822
OB05G35280.1_OB01G31450.1	0.5681	0.1642	0.8308	2.2110	0.2891	0.0161	0.0663
OB05G35280.1_OB01G33510.1	1.7602	0.3897	2.1883	1.1235	0.2214	0.0315	0.3453
OB05G35310.1_OB05G31350.1	1.4168	0.2496	1.6828	1.2654	0.1762	0.0204	0.3131
OB05G35380.1_OB01G30730.1	0.7099	0.0967	0.8481	4.6217	0.1362	0.0178	0.1261
OB05G35390.1_OB09G27190.1	3.7364	0.5306	3.3416	1.0794	0.1420	0.0387	5.2629
OB05G35460.1_OB01G30370.1	0.9907	0.1785	1.2213	1.7035	0.1802	0.0168	0.1336
OB05G35460.1_OB01G37630.1	1.3962	0.2980	1.8171	2.0844	0.2134	0.0252	0.2496
OB05G35460.1_OB05G31640.1	1.4666	0.3216	1.9823	2.7502	0.2193	0.0309	0.2357
OB05G35510.1_OB01G18500.1	4.1912	0.3871	3.5257	0.8550	0.0924	0.0242	7.1052
OB05G35510.1_OB01G37360.1	1.7447	0.1396	1.5768	1.6905	0.0800	0.0124	0.2629
OB05G35510.1_OB02G20900.1	4.2331	0.3587	3.7341	1.5299	0.0847	0.0237	7.3053
OB05G35510.1_OB02G31900.1	4.2970	0.3527	3.7260	1.3045	0.0821	0.0222	7.6209
OB05G35510.1_OB10G20380.1	4.3171	0.3992	3.9078	1.3371	0.0925	0.0243	7.7231
OB05G35550.1_OB01G29140.1	1.7942	0.1993	1.6163	2.0780	0.1111	0.0153	0.5520
OB05G35620.1_OB09G23700.1	3.9509	0.2839	2.8671	1.1194	0.0719	0.0211	6.0620
OB06G10040.1_OB01G43760.1	1.6374	0.3419	2.0592	1.2985	0.2088	0.0242	0.2389
OB06G10040.1_OB04G11890.1	1.9135	0.3644	2.2792	1.4091	0.1904	0.0260	0.6232
OB06G10040.1_OB06G13040.1	3.7014	0.4874	3.8712	1.3306	0.1317	0.0336	3.8165
OB06G10040.1_OB06G26280.1	1.7098	0.5935	2.6296	1.4845	0.3471	0.0410	0.3917
OB06G10040.1_OB12G26200.1	2.1924	0.3219	2.4754	1.5367	0.1468	0.0230	1.0730
OB06G10090.1_OB06G13490.1	-0.0000	0.0073	0.0162	4.6000	99.0000	0.0073	0.0000
OB06G10410.1_OB02G10440.1	1.1970	0.3000	1.5935	1.9191	0.2506	0.0115	0.1200
OB06G10430.1_OB02G35240.1	2.1012	0.3858	2.3382	1.1924	0.1836	0.0302	0.5404
OB06G10430.1_OB06G32000.1	0.7108	0.1960	1.0003	2.4878	0.2757	0.0194	0.1016
OB06G10460.1_OB07G16430.1	4.2745	0.4083	3.7082	1.0240	0.0955	0.0242	7.5084
OB06G10460.1_OB12G22330.1	4.1346	0.5024	3.7746	1.2310	0.1215	0.0307	6.8442
OB06G10480.1_OB02G10390.1	1.0062	0.4022	1.7237	2.7536	0.3997	0.0410	0.2139
OB06G10530.1_OB02G10370.1	1.6127	0.4804	2.3161	1.7296	0.2979	0.0328	0.2944
OB06G10570.1_OB03G11740.1	3.4054	0.8540	3.9941	0.8314	0.2508	0.0819	4.2361
OB06G10570.1_OB10G24040.1	3.4990	0.3988	2.9084	0.8951	0.1140	0.0386	11.7687
OB06G10630.1_OB02G10360.1	1.2046	0.3595	1.7937	1.9205	0.2984	0.0268	0.2005
OB06G10630.1_OB02G10370.1	1.6211	0.4924	2.4115	1.7166	0.3037	0.0337	0.3617
OB06G10630.1_OB06G10530.1	1.2231	0.3736	1.8018	1.6917	0.3054	0.0271	0.1685
OB06G10630.1_OB06G10640.1	1.8630	0.3884	2.3765	1.6576	0.2085	0.0282	0.6676
OB06G10640.1_OB02G10370.1	1.3053	0.4514	2.0437	1.5675	0.3458	0.0314	0.2091
OB06G10640.1_OB06G10530.1	1.6752	0.4294	2.2625	1.5473	0.2563	0.0299	0.3843
OB06G10670.1_OB10G26200.1	3.7491	0.4156	3.3767	1.4155	0.1108	0.0347	5.3071
OB06G10750.1_OB03G38930.1	1.7952	0.3629	2.2401	1.8067	0.2022	0.0313	0.6612
OB06G10850.1_OB03G47300.1	4.7242	0.4343	4.2682	1.1477	0.0919	0.0197	10.1179
OB06G10850.1_OB07G15230.1	2.3798	0.4330	2.6420	1.2226	0.1820	0.0197	0.4606
OB06G10900.1_OB11G20840.1	4.0037	0.2148	2.8849	1.4197	0.0536	0.0179	6.2771
OB06G10910.1_OB11G14860.1	0.7696	0.1424	0.8877	1.9353	0.1851	0.0093	0.0669
OB06G10910.1_OB12G24340.1	2.2303	0.4419	2.5083	1.1338	0.1981	0.0223	0.4363
OB06G10930.1_OB06G10950.1	0.3536	0.0911	0.4809	2.4264	0.2578	0.0107	0.0460
OB06G11010.1_OB03G48790.1	2.6471	0.5039	3.1828	1.1528	0.1904	0.0265	1.8061
OB06G11010.1_OB04G12980.1	2.4850	0.4650	2.9524	1.2619	0.1871	0.0248	1.6595
OB06G11020.1_OB05G28430.1	99.0000	0.3496	51.9176	1.2200	0.0035	0.0339	0.0000
OB06G11020.1_OB07G15550.1	3.4658	0.3576	2.8272	1.3421	0.1032	0.0348	4.4068
OB06G11020.1_OB10G26990.1	3.5942	0.1841	2.7392	2.7583	0.0512	0.0226	4.7934
OB06G11110.1_OB06G11070.1	1.9444	0.1785	1.8423	1.4917	0.0918	0.0349	2.3729
OB06G11110.1_OB11G13340.1	0.4021	0.0413	0.4002	1.4369	0.1027	0.0157	0.1100
OB06G11150.1_OB08G14090.1	1.0740	0.0080	0.6454	1.6911	0.0074	0.0040	0.2484
OB06G11180.1_OB10G27050.1	1.2995	0.3587	1.8824	2.2622	0.2761	0.0267	0.2240
OB06G11220.1_OB03G14340.1	4.0752	0.2438	4.1055	2.4580	0.0598	0.0240	6.5805
OB06G11440.1_OB02G35980.1	2.1056	0.4076	2.3888	1.3873	0.1936	0.0197	0.7141
OB06G11440.1_OB04G30610.1	4.5737	0.3952	3.7975	1.6977	0.0864	0.0190	9.1556
OB06G11440.1_OB06G11460.1	0.4062	0.0925	0.5127	1.4603	0.2276	0.0079	0.0374
OB06G11440.1_OB06G11480.1	0.4609	0.1340	0.6461	1.7089	0.2907	0.0113	0.0463
OB06G11440.1_OB06G11600.1	0.8406	0.1543	0.9919	1.5939	0.1836	0.0106	0.0835
OB06G11440.1_OB08G19010.1	4.5738	0.4842	4.0756	1.7090	0.1059	0.0226	9.1561
OB06G11440.1_OB08G26090.1	4.5759	0.3856	3.8174	1.6121	0.0843	0.0188	9.1690
OB06G11460.1_OB02G35980.1	1.7107	0.3374	1.8979	1.2798	0.1973	0.0168	0.3075
OB06G11460.1_OB04G30610.1	4.5455	0.3216	3.4552	1.9907	0.0708	0.0161	8.9857
OB06G11460.1_OB06G11480.1	0.3966	0.0687	0.4524	2.5476	0.1733	0.0078	0.0416
OB06G11460.1_OB06G11600.1	0.7826	0.0860	0.7817	1.8713	0.1099	0.0074	0.0764
OB06G11460.1_OB08G19010.1	4.5316	0.4012	3.6586	1.6115	0.0885	0.0192	8.9037
OB06G11460.1_OB08G26090.1	4.5738	0.3497	3.5498	1.4548	0.0765	0.0168	9.1566
OB06G11480.1_OB06G11600.1	0.7165	0.1162	0.8021	2.3309	0.1622	0.0105	0.0774
OB06G11480.1_OB08G19010.1	4.3193	0.3774	3.4597	1.8185	0.0874	0.0211	7.7345
OB06G11480.1_OB08G26090.1	4.3267	0.3456	3.4104	1.6485	0.0799	0.0198	7.7722
OB06G11540.1_OB08G29290.1	3.3454	0.2515	1.8127	1.5129	0.0752	0.0221	4.0736
OB06G11590.1_OB08G29360.1	3.5812	0.2524	2.8442	1.1741	0.0705	0.0272	4.7528
OB06G11620.1_OB06G19080.1	0.8638	0.0100	0.1893	1.3388	0.0116	0.0034	0.9528
OB06G11630.1_OB01G49300.1	4.2590	0.4170	4.0401	1.7099	0.0979	0.0270	7.4315
OB06G11630.1_OB02G35030.1	4.1037	0.2078	2.4439	2.0671	0.0506	0.0142	6.7058
OB06G11630.1_OB04G29190.1	2.8495	0.2038	2.3071	2.1725	0.0715	0.0150	1.1242
OB06G11630.1_OB09G16830.1	4.4553	0.4107	4.0475	1.7870	0.0922	0.0228	8.4638
OB06G11630.1_OB10G22560.1	4.3136	0.3449	3.2888	2.2836	0.0800	0.0194	7.7052
OB06G11630.1_OB10G27070.1	4.1359	0.4514	3.0264	1.3107	0.1091	0.0232	6.8499
OB06G11790.1_OB10G23460.1	4.1832	0.3739	3.4162	1.5460	0.0894	0.0232	7.0679
OB06G11790.1_OB10G23470.1	4.2278	0.3666	3.5569	1.7375	0.0867	0.0230	7.2797
OB06G11810.1_OB02G41390.1	2.4868	0.3008	2.5269	1.4170	0.1210	0.0137	0.4571
OB06G11810.1_OB06G16070.1	3.3397	0.2861	3.0983	1.2706	0.0857	0.0132	1.4021
OB06G11840.1_OB08G30390.1	99.0000	0.4063	49.2908	1.2851	0.0041	0.0405	-nan
OB06G11870.1_OB01G47170.1	2.6397	0.1950	1.7158	3.3844	0.0739	0.0366	2.5865
OB06G11870.1_OB02G23670.1	3.0906	0.3908	2.3954	1.1150	0.1265	0.0419	3.4521
OB06G11870.1_OB04G19540.1	2.8882	0.0457	1.1204	0.7522	0.0158	0.0115	3.0303
OB06G11870.1_OB04G21720.1	3.3449	0.0221	2.1791	4.6000	0.0066	0.0084	4.0721
OB06G11870.1_OB06G13710.1	99.0000	0.0409	22.3001	4.1170	0.0004	0.0106	0.0000
OB06G11870.1_OB06G27560.1	99.0000	0.0219	26.8863	2.0056	0.0002	0.0078	0.0000
OB06G11870.1_OB11G12910.1	2.7151	0.0191	0.7977	2.4530	0.0070	0.0073	2.7133
OB06G12180.1_OB10G12730.1	1.8347	0.0590	1.3616	1.0752	0.0321	0.0087	0.3495
OB06G12340.1_OB06G26050.1	3.6951	0.3942	3.1202	1.1374	0.1067	0.0329	5.1220
OB06G12490.1_OB06G12510.1	0.2374	0.0474	0.2482	1.2761	0.1995	0.0133	0.0704
OB06G12660.1_OB06G27150.1	99.0000	0.3024	20.1144	2.5005	0.0031	0.0186	0.0000
OB06G12730.1_OB09G17420.1	3.8126	0.3899	2.8431	0.9076	0.1023	0.0271	5.5337
OB06G12800.1_OB01G18930.1	3.0998	0.4735	2.7856	1.2704	0.1528	0.0527	3.4729
OB06G12800.1_OB06G12830.1	2.6999	0.3621	2.3851	1.8912	0.1341	0.0439	2.0163
OB06G12830.1_OB01G18930.1	2.8912	0.3524	2.0647	1.6217	0.1219	0.0412	3.0361
OB06G12870.1_OB01G18930.1	2.9165	0.3548	2.1718	1.7785	0.1216	0.0428	3.0859
OB06G12870.1_OB06G12800.1	2.1591	0.4117	2.3591	1.9142	0.1907	0.0503	0.9533
OB06G12870.1_OB06G12830.1	0.2346	0.0528	0.2334	5.4112	0.2253	0.0138	0.0883
OB06G12870.1_OB06G26910.1	3.1562	0.3467	2.6973	1.8641	0.1099	0.0432	3.6020
OB06G12880.1_OB01G18930.1	3.2172	0.5184	3.2233	1.2891	0.1611	0.0582	3.7474
OB06G12880.1_OB02G17790.1	3.2598	0.3544	2.9483	2.0423	0.1087	0.0434	3.8527
OB06G12880.1_OB06G12800.1	3.3693	0.5612	3.8279	2.4688	0.1666	0.0653	4.1376
OB06G12880.1_OB06G12830.1	3.2553	0.4018	3.1260	1.6372	0.1234	0.0491	3.8413
OB06G12880.1_OB06G12870.1	3.2670	0.4394	3.3401	1.7622	0.1345	0.0543	3.8706
OB06G12880.1_OB06G26910.1	1.9200	0.3971	2.2456	1.5058	0.2068	0.0475	1.0183
OB06G12910.1_OB06G12900.1	1.1609	0.1509	0.8383	3.7413	0.1300	0.0223	0.4031
OB06G13010.1_OB05G31720.1	1.6416	0.1573	1.4098	1.2421	0.0958	0.0156	0.2942
OB06G13040.1_OB01G43760.1	4.1541	0.5238	4.3953	1.4403	0.1261	0.0363	6.9329
OB06G13040.1_OB04G11890.1	2.1534	0.4727	2.7097	1.3945	0.2195	0.0329	0.4991
OB06G13040.1_OB06G26280.1	2.5110	0.3174	2.6548	1.4300	0.1264	0.0262	2.7568
OB06G13040.1_OB12G26200.1	2.5937	0.4626	3.0753	1.3407	0.1784	0.0325	0.8668
OB06G13140.1_OB01G39190.1	1.8054	0.2703	1.9428	1.3445	0.1497	0.0170	0.2555
OB06G13140.1_OB05G15630.1	4.3864	0.2355	3.4171	1.5436	0.0537	0.0156	8.0863
OB06G13150.1_OB01G39210.1	1.3264	0.3824	1.9288	1.4325	0.2883	0.0315	0.2404
OB06G13150.1_OB05G30870.1	1.5004	0.3720	2.0529	1.9960	0.2480	0.0311	0.3347
OB06G13150.1_OB10G25670.1	1.4557	0.4651	2.1994	1.6712	0.3195	0.0372	0.3397
OB06G13160.1_OB10G14570.1	2.8341	0.1175	1.7578	0.8100	0.0414	0.0202	2.3521
OB06G13160.1_OB10G14580.1	3.1512	0.1100	1.8807	0.6780	0.0349	0.0195	3.5904
OB06G13300.1_OB10G23880.1	2.0848	0.2123	2.0370	1.8398	0.1018	0.0182	1.0250
OB06G13390.1_OB01G17310.1	99.0000	0.2588	29.1562	1.3399	0.0026	0.0187	0.0000
OB06G13390.1_OB01G17320.1	3.5777	0.3486	2.1188	0.9084	0.0974	0.0232	4.7421
OB06G13390.1_OB01G17360.1	99.0000	0.3827	29.4386	1.6618	0.0039	0.0251	0.0000
OB06G13390.1_OB02G19560.1	3.8340	0.4507	2.9568	1.0819	0.1176	0.0292	5.6120
OB06G13390.1_OB06G13400.1	3.6779	0.3399	2.1855	1.5340	0.0924	0.0220	5.0643
OB06G13390.1_OB06G13450.1	3.4090	0.2158	1.4782	1.3147	0.0633	0.0165	4.2461
OB06G13390.1_OB06G24960.1	3.7377	0.4226	2.9141	0.8175	0.1131	0.0306	5.2675
OB06G13400.1_OB01G17310.1	3.6067	0.2829	1.9683	1.1636	0.0784	0.0199	4.8331
OB06G13400.1_OB01G17320.1	3.6141	0.3747	2.2199	1.8120	0.1037	0.0241	4.8564
OB06G13400.1_OB01G17360.1	3.6629	0.4170	2.3980	1.6245	0.1139	0.0259	5.0148
OB06G13400.1_OB02G19560.1	4.0102	0.4605	3.3173	1.5405	0.1148	0.0286	6.3040
OB06G13400.1_OB06G13450.1	3.4889	0.2855	1.7761	1.6358	0.0818	0.0198	4.4739
OB06G13400.1_OB06G24960.1	3.8998	0.4744	3.4128	1.7405	0.1216	0.0328	5.8611
OB06G13450.1_OB01G17360.1	99.0000	0.4018	28.3187	1.2944	0.0041	0.0251	0.0000
OB06G13450.1_OB02G19560.1	3.8344	0.4651	2.9202	1.4828	0.1213	0.0290	5.6137
OB06G13470.1_OB01G10860.1	1.5924	0.4264	1.9025	1.4167	0.2678	0.0404	0.6313
OB06G13470.1_OB01G17510.1	3.3877	0.1567	2.1605	2.9341	0.0463	0.0207	4.1876
OB06G13470.1_OB02G18690.1	1.7296	0.2552	1.6903	2.0512	0.1475	0.0286	0.5681
OB06G13470.1_OB02G26860.1	1.6677	0.3150	1.6937	1.4841	0.1889	0.0326	0.5445
OB06G13470.1_OB02G30600.1	3.6683	0.2665	3.4017	1.7628	0.0727	0.0303	5.0326
OB06G13470.1_OB04G18900.1	3.3875	0.3095	2.5665	1.5815	0.0914	0.0320	4.1870
OB06G13470.1_OB04G24120.1	3.6826	0.2992	3.5354	1.8129	0.0812	0.0328	5.0801
OB06G13470.1_OB05G30480.1	2.5097	0.3585	2.7720	2.3213	0.1428	0.0377	1.0936
OB06G13470.1_OB06G13480.1	0.3453	0.0496	0.3396	2.8429	0.1438	0.0112	0.0740
OB06G13470.1_OB06G23780.1	1.9029	0.3938	2.0682	1.5805	0.2070	0.0383	0.7764
OB06G13470.1_OB06G25800.1	3.5455	0.2966	3.0117	1.7612	0.0837	0.0318	4.6428
OB06G13470.1_OB09G22840.1	3.7570	0.3890	4.0340	2.9887	0.1036	0.0404	5.3349
OB06G13470.1_OB11G12700.1	2.6181	0.3983	2.7890	1.7242	0.1521	0.0398	1.3112
OB06G13470.1_OB12G13090.1	3.3540	0.3944	3.4035	1.7675	0.1176	0.0399	3.3739
OB06G13470.1_OB12G16210.1	2.8545	0.3205	2.3570	2.6417	0.1123	0.0328	2.0260
OB06G13480.1_OB01G10860.1	1.5146	0.4291	1.8931	1.1780	0.2833	0.0408	0.4323
OB06G13480.1_OB02G18690.1	1.7268	0.2869	1.7935	2.4408	0.1661	0.0312	0.6868
OB06G13480.1_OB04G18900.1	2.9473	0.3019	2.3962	2.0128	0.1024	0.0317	9.8973
OB06G13480.1_OB12G16210.1	2.2300	0.3171	2.0495	2.2109	0.1422	0.0326	0.8838
OB06G13500.1_OB11G24150.1	0.0322	0.0249	0.0786	1.1614	0.7716	0.0054	0.0134
OB06G13570.1_OB01G35800.1	2.1536	0.2368	2.1874	1.9455	0.1099	0.0146	0.9889
OB06G13610.1_OB06G13620.1	0.5114	0.1511	0.7513	2.7706	0.2954	0.0093	0.0389
OB06G13670.1_OB01G28310.1	2.6423	0.2961	2.6858	2.0570	0.1121	0.0116	2.0353
OB06G13670.1_OB11G12890.1	0.2859	0.0749	0.3937	2.5197	0.2618	0.0050	0.0194
OB06G13670.1_OB12G22760.1	1.5529	0.2358	1.7213	2.5490	0.1519	0.0113	0.2557
OB06G13680.1_OB06G13830.1	0.0165	0.0063	0.0261	2.8474	0.3833	0.0028	0.0083
OB06G13710.1_OB01G47170.1	1.9698	0.1873	1.3540	5.7100	0.0951	0.0359	1.1917
OB06G13710.1_OB02G23670.1	3.2831	0.6204	3.1701	1.0880	0.1890	0.0564	3.9115
OB06G13710.1_OB04G19540.1	2.7458	0.0476	0.9145	1.7323	0.0173	0.0116	2.7667
OB06G13710.1_OB04G21720.1	3.3287	0.0612	2.2171	4.0549	0.0184	0.0142	4.0295
OB06G13710.1_OB06G27560.1	1.2251	0.0198	0.2645	8.7021	0.0161	0.0073	1.4201
OB06G13710.1_OB11G12910.1	99.0000	0.0198	17.7765	8.1262	0.0002	0.0073	0.0000
OB06G13720.1_OB06G27570.1	0.0777	0.0573	0.1869	2.7073	0.7377	0.0090	0.0188
OB06G13860.1_OB12G14410.1	1.1278	0.3379	1.5620	1.6715	0.2996	0.0237	0.2218
OB06G13870.1_OB02G35340.1	3.6674	0.4334	3.2457	0.9665	0.1182	0.0368	5.0296
OB06G13870.1_OB03G41500.1	1.7249	0.3812	1.9560	0.9872	0.2210	0.0332	0.4032
OB06G13970.1_OB02G44290.1	3.0737	0.1932	2.6622	1.7037	0.0629	0.0182	1.7535
OB06G13970.1_OB08G24300.1	99.0000	0.1566	57.6567	1.6154	0.0016	0.0159	0.0000
OB06G14000.1_OB04G34880.1	4.6736	0.4174	3.9951	1.6697	0.0893	0.0189	9.7832
OB06G14000.1_OB04G34890.1	4.6795	0.4248	4.0416	1.6802	0.0908	0.0192	9.8218
OB06G14000.1_OB06G14010.1	0.2232	0.0678	0.3188	1.8476	0.3039	0.0069	0.0248
OB06G14000.1_OB06G14020.1	0.4902	0.2359	0.9122	2.7263	0.4812	0.0140	0.0424
OB06G14010.1_OB04G34880.1	4.5768	0.4230	4.1121	1.7812	0.0924	0.0212	9.1747
OB06G14010.1_OB04G34890.1	4.5809	0.4166	4.1198	1.7229	0.0909	0.0210	9.1993
OB06G14010.1_OB06G14020.1	0.5268	0.2300	0.9244	2.7330	0.4365	0.0152	0.0525
OB06G14070.1_OB12G13670.1	1.7565	0.3503	1.9638	2.1491	0.1994	0.0170	0.2177
OB06G14110.1_OB09G24020.1	4.1513	0.6010	4.2545	1.6753	0.1448	0.0379	6.9201
OB06G14200.1_OB06G14330.1	0.0904	0.0989	0.2886	1.6315	1.0942	0.0291	0.0414
OB06G14270.1_OB03G15900.1	4.2192	0.4961	4.1301	1.2228	0.1176	0.0313	7.2385
OB06G14270.1_OB05G35390.1	4.2951	0.4254	4.2612	1.3490	0.0990	0.0278	7.6115
OB06G14270.1_OB07G27510.1	4.1965	0.4529	4.0456	1.2841	0.1079	0.0297	7.1302
OB06G14270.1_OB08G24400.1	4.2312	0.5588	4.3040	1.0340	0.1321	0.0345	7.2959
OB06G14270.1_OB09G27190.1	3.9011	0.5065	3.8804	1.1025	0.1298	0.0388	5.8659
OB06G14340.1_OB12G21690.1	0.4065	0.1241	0.6082	3.2750	0.3054	0.0168	0.0632
OB06G14370.1_OB11G20420.1	0.4669	0.0774	0.5437	2.0675	0.1657	0.0141	0.0837
OB06G14390.1_OB02G37670.1	1.7770	0.3529	2.1158	1.7606	0.1986	0.0259	0.3121
OB06G14390.1_OB03G28910.1	4.2596	0.3927	3.7338	1.6648	0.0922	0.0243	7.4344
OB06G14560.1_OB02G43000.1	0.8191	0.1955	1.0877	1.8075	0.2387	0.0142	0.0918
OB06G14780.1_OB01G21020.1	0.9346	0.2108	1.1781	2.1775	0.2255	0.0206	0.1269
OB06G14780.1_OB05G22760.1	0.9922	0.3095	1.4384	1.6277	0.3120	0.0231	0.1179
OB06G14820.1_OB01G25700.1	3.8151	0.1652	1.5639	1.8607	0.0433	0.0115	5.5428
OB06G14820.1_OB02G27040.1	99.0000	0.1459	26.9219	2.7570	0.0015	0.0091	0.0000
OB06G14820.1_OB05G20140.1	4.0679	0.1373	1.3591	2.1641	0.0338	0.0078	6.5489
OB06G14820.1_OB12G26830.1	4.8088	0.1959	3.5603	1.6070	0.0407	0.0104	10.7030
OB06G14830.1_OB08G18020.1	1.5412	0.0254	0.4632	1.0235	0.0165	0.0137	1.0479
OB06G15170.1_OB06G15180.1	2.6470	0.4371	2.5674	1.6423	0.1651	0.0181	1.4819
OB06G15190.1_OB06G15170.1	4.6597	0.4248	3.4880	1.3171	0.0912	0.0170	9.6937
OB06G15190.1_OB06G15180.1	2.0900	0.2836	1.7210	1.5294	0.1357	0.0131	0.4269
OB06G15210.1_OB07G14100.1	1.0816	0.3243	1.5615	1.9019	0.2998	0.0187	0.1487
OB06G15240.1_OB04G24800.1	1.3823	0.3377	1.8790	1.6677	0.2443	0.0209	0.2158
OB06G15270.1_OB02G42330.1	3.5143	0.0857	1.1840	1.2005	0.0244	0.0092	4.5491
OB06G15270.1_OB09G22150.1	3.6251	0.2790	1.8599	1.1123	0.0770	0.0184	4.8919
OB06G15310.1_OB02G42210.1	0.7913	0.0955	0.8841	2.5085	0.1206	0.0165	0.1591
OB06G15360.1_OB06G15380.1	1.2004	0.3595	1.7321	2.0249	0.2995	0.0212	0.1833
OB06G15410.1_OB06G17540.1	0.2143	0.1327	0.4569	2.2896	0.6191	0.0135	0.0331
OB06G15410.1_OB06G17650.1	1.4763	0.4807	2.0630	1.4588	0.3256	0.0289	0.2667
OB06G15440.1_OB03G28230.1	4.1882	0.3511	3.3436	1.8992	0.0838	0.0220	7.0914
OB06G15440.1_OB07G18250.1	4.2124	0.3457	3.1805	2.3598	0.0821	0.0204	7.2058
OB06G15440.1_OB07G29010.1	4.1667	0.3507	3.0502	2.0879	0.0842	0.0206	6.9910
OB06G15440.1_OB07G29020.1	3.9896	0.3732	2.6179	1.5032	0.0935	0.0210	6.2187
OB06G15470.1_OB05G32820.1	2.5679	0.1233	1.0458	1.7305	0.0480	0.0216	2.4720
OB06G15590.1_OB02G41790.1	0.8387	0.3047	1.2922	1.7956	0.3633	0.0230	0.1084
OB06G15620.1_OB02G45260.1	4.6766	0.3676	3.8358	1.1511	0.0786	0.0170	9.8033
OB06G15620.1_OB03G26470.1	4.7495	0.2273	3.8430	1.3686	0.0479	0.0125	10.2897
OB06G15620.1_OB03G29830.1	1.8868	0.1259	1.4345	1.0889	0.0668	0.0086	0.2601
OB06G15620.1_OB04G13990.1	4.7225	0.3608	4.0123	1.3319	0.0764	0.0169	10.1064
OB06G15620.1_OB07G27800.1	1.7045	0.1388	1.4099	1.1604	0.0814	0.0092	0.2011
OB06G15680.1_OB09G18070.1	1.5672	0.3093	1.9008	1.9016	0.1974	0.0328	0.3242
OB06G15710.1_OB03G29900.1	2.7705	0.3604	2.8601	1.0735	0.1301	0.0243	1.0321
OB06G15710.1_OB07G27750.1	2.0673	0.3499	2.3515	1.2169	0.1693	0.0238	0.4114
OB06G15730.1_OB02G41660.1	0.8193	0.1278	0.9926	2.1205	0.1560	0.0166	0.1227
OB06G15730.1_OB09G18130.1	1.3136	0.2101	1.5705	1.4688	0.1599	0.0223	0.2476
OB06G15750.1_OB08G24320.1	1.6638	0.2655	1.8462	1.3689	0.1596	0.0283	0.5689
OB06G15860.1_OB02G41540.1	0.9975	0.2583	1.1453	3.6260	0.2590	0.0345	0.3799
OB06G16010.1_OB01G30690.1	4.1790	0.4173	3.7815	1.0858	0.0998	0.0271	7.0480
OB06G16010.1_OB02G11190.1	4.0828	0.4842	3.5547	1.0484	0.1186	0.0298	6.6140
OB06G16010.1_OB02G41410.1	1.8704	0.1652	1.1575	1.0851	0.0883	0.0133	0.4368
OB06G16010.1_OB03G12450.1	2.6412	0.3709	2.3145	1.2598	0.1404	0.0271	1.9173
OB06G16010.1_OB03G14480.1	4.0429	0.3531	3.2764	1.0379	0.0873	0.0244	6.4416
OB06G16010.1_OB03G15340.1	4.1844	0.4526	3.8290	1.3671	0.1082	0.0284	7.0736
OB06G16010.1_OB03G15900.1	3.8134	0.2459	2.3339	1.9982	0.0645	0.0187	5.5366
OB06G16010.1_OB03G22360.1	3.9062	0.4022	3.0058	1.5185	0.1030	0.0267	5.8859
OB06G16010.1_OB05G35390.1	4.0759	0.4346	3.5233	1.2408	0.1066	0.0281	6.5836
OB06G16010.1_OB06G14270.1	4.1591	0.3677	3.7201	1.0742	0.0884	0.0254	6.9561
OB06G16010.1_OB06G35820.1	4.0288	0.4687	3.3963	1.0157	0.1163	0.0292	6.3819
OB06G16010.1_OB07G27510.1	3.7893	0.3171	2.3583	1.5246	0.0837	0.0212	5.4495
OB06G16010.1_OB07G32370.1	3.7070	0.4163	2.4721	1.5279	0.1123	0.0260	5.1620
OB06G16010.1_OB08G24400.1	3.9936	0.3749	2.8734	0.9205	0.0939	0.0231	6.2353
OB06G16010.1_OB09G18330.1	3.9028	0.2722	2.4724	1.6028	0.0698	0.0190	5.8727
OB06G16010.1_OB09G27190.1	3.5264	0.3755	2.4072	0.9354	0.1065	0.0286	4.5851
